81fdc249b649f771f9cce9e62d082d1a a239a2ac588cd28330c113555b7f9af1 || 0 1 1 || 0 1 1 ||
13501ddde91e0843cf9f7d0fc63c3110 71000db0cd3ef9d095c59dca6fa73447 || 0 1 1 || 0 1 1 ||
3c3e42e410914be6c58cc3f692afba54 881f55b6198d8846388dc35072008e69 || 0 0 1 || 0 0 1 ||
c5c4d43efd29c90f18ba53277f278068 ade709acc69e6bbdf2df1447f148a553 || 0 0 0 || 0 0 0 ||
125e8801876cb03da71c8ff9db56b423 0a099e3b6bb534e79e4c4ca74b8bed67 || 0 0 0 || 0 0 0 ||
67707c0e32a8cfd7c9950b1475af1e76 a76b0f4088fa4dfc00e9350e45c0e76e || 0 0 1 || 0 0 1 ||
07a3d3d13ed3653c06c46c6d91dbc8ec 660d6923cf6ac8d928568f939ddc4cf9 || 0 1 1 || 0 1 1 ||
0261c01f98c6cd0218486c304470ba3f 3939813753569da30c2ebaa23ef3abc9 || 0 1 1 || 0 1 1 ||
81f9e655d426ef1854e2310566b42d4f 3ff06d1dfb8ad487596d32f1ee197be3 || 0 1 0 || 0 1 0 ||
31a6eb7e59d7a2f04b8d6f78c59b7bad 6861547f6b886ebf49f354b7eb05fac4 || 0 1 1 || 0 1 1 ||
096e3e8193aadf248399ffaca6138532 1b18a81c5344a1904aef2b68b7efc8e9 || 0 1 1 || 0 1 1 ||
4e64cb241a344f005f74bc6bab52fe30 83fef17b5c90bfd6ae6a9734c6e1c3ca || 0 0 1 || 0 0 1 ||
0285a55c544af81ed217730da9a5c47b 5f05feda484820381b73d526ef605d6f || 0 1 1 || 0 1 1 ||
5cdf7df1e144dc05af11e6ab94926ac6 e3b5ef8f8a06cf27257db8baa50fcb69 || 0 0 1 || 0 0 1 ||
5394469f8a792d9b1a99842b8afe0ae1 a57304acf430c9837baca0218efd65d7 || 0 0 1 || 0 0 1 ||
8e433fc0e86292e96503d591a9f910a4 3b1433ff003f2a9016180c8cf33d89ef || 0 1 0 || 0 1 0 ||
83b8006cd3de3cb3a0aaf4964ce7db40 6aa626aa6a39c0ced03a53fb4b2d75f0 || 0 1 0 || 0 1 0 ||
7cae6040ee648c0ef02122d8ca916df9 4aca3f049008222ea6eb7e96b783bea9 || 0 0 0 || 0 0 0 ||
a194df82c827f177f540be2074619f86 d1db7c13f2bd63bf397ca28a6a763302 || 0 1 1 || 0 1 1 ||
95db8bed41c0295532a4e0c26aac404d 59c40674eb6075473b2e8044137fdd51 || 0 1 0 || 0 1 0 ||
bf4a9be5b7e79309bb44892a126d1361 451a925f8a13ea4701776b3139f88c2a || 0 1 0 || 0 1 0 ||
f5ac05b6c91c17be819108a92e60bc13 10150cb4b5859f4ded2041630e97cb1c || 0 1 0 || 0 1 0 ||
dbdbada4ce98240da19d3cb38ac4aeb2 4bdcd1f272835a9d85dabc1d9426c798 || 0 1 0 || 0 1 0 ||
b265eb82e63bf13cb82e0d162554c026 e9f5dde8f30d5aa9b96fdecfdfd7d829 || 0 1 1 || 0 1 1 ||
7eb6027b4accb9be414b6b47d6be9b11 9ead7c21c0a1b04f5b47623bc874a09c || 0 0 1 || 0 0 1 ||
edba4c07545485a7aa3a586e14b683f3 1a97ccc17f10aca545bcb090b1ac061a || 0 1 0 || 0 1 0 ||
c012f788bcca5d953cad852ca22a710a e3ac7ab5a3c2805eb85658b80654b311 || 0 1 1 || 0 1 1 ||
5c89e4e2d478a3c8bc2d1a8b40fc097c bfeca1413f312ea946dcb1ad0055b56f || 0 0 1 || 0 0 1 ||
afe64f88464334022189d2b07a699644 3280891252ade49b04be2959c3dcc353 || 0 1 0 || 0 1 0 ||
ca3f70778e6593bc573a6ef8c6339f6d 80ef34c4cbd53ffe6b3a6c7b59cdc6a9 || 0 0 0 || 0 0 0 ||
aab22b337f733b5e86faf375dbd25468 d35c9b179636f4fc1463c04210bc30e1 || 0 1 1 || 0 1 1 ||
554170bb709063d049088c15011e0034 db766225b1a0aa6933c3f337b6666557 || 0 0 1 || 0 0 1 ||
99fcc456d24872e7841f0d2defa6330d ff8f6e092c4ce286a683d42e44c76dd0 || 0 1 1 || 0 1 1 ||
ddf8d00ea2e0f2c33aadf44c70a8c6c5 55798aafcafe0d0fde3ab90eab9d493c || 0 1 0 || 0 1 0 ||
616cb1529b89fea0ed0e01b561587afa d9b83a16f01d755e6736966a64f0eeb5 || 0 0 1 || 0 0 1 ||
f3c862def2c93c864216ca361d077b76 6912ad61744942dbe138c1665c3fa6f3 || 0 1 0 || 0 1 0 ||
2b425b1313c0c8b24958b45384c2f0f0 0efdc48aed9bb6fba607262abd5851c3 || 0 0 0 || 0 0 0 ||
f0c4fd4210a62dd61776d165ef3446fb c8918954a7076fd0d037fcf9fe39036b || 0 0 0 || 0 0 0 ||
8739bbfa365ecde47f77164a78be9cbf 8aa913588a9e73987ba24bbd959fd14f || 0 1 1 || 0 1 1 ||
dcff454b415b9b2b4f2c872627a5d5be c30164170c25810c74ac0a94222c0b1b || 0 0 0 || 0 0 0 ||
63f47c366f5fe9c91b9444a840e0ece2 0432e03a877218d294503a7e634ee4fe || 0 0 0 || 0 0 0 ||
060d6b93d90219bf8326ae19b72c1f83 d0250b535992c01af8e0fbe910875158 || 0 0 1 || 0 0 1 ||
71c03ceec299d0fb3f9901b02029f217 03b3ba7b6bd8fbe6ee63b7916866663d || 0 0 0 || 0 0 0 ||
b2bd282fc8811d39e8b8ac271be0469e 9be5fca2920a5814741d582de6b64084 || 0 0 0 || 0 0 0 ||
391c06db61148f3e9bc548463b46deb7 2e36b95f9f1e80d48e1a56d025cb207c || 0 0 0 || 0 0 0 ||
a82064d093baac8b38ef0fe6a89a64ea 63e6964900c0785de9435c56b585b0c0 || 0 1 0 || 0 1 0 ||
4f7a94c3b6f26f668d1bf86c3a7cf14a a41ff17583858266b705f3344be8831b || 0 0 1 || 0 0 1 ||
a548a07b154cd03781116911aed5a272 f9c3f7e7ce01dad1dcd64c536b25147c || 0 1 1 || 0 1 1 ||
44e055426d4f16f0943876a12ecf80d3 fdd498683140b6cc56d5d9252cb1ac5b || 0 0 1 || 0 0 1 ||
5fc30f6b6e5db39a83ebd7e8a5543992 4c2f733334d7ef204f7974bb64dea895 || 0 0 0 || 0 0 0 ||
24e60241b1e7eaa6cb4b754ee022ae5b 7f64d15613208121386dcb9134c56c33 || 0 1 1 || 0 1 1 ||
2119a236520f0dc04bd375da8217edb9 f172e515be159f5af8df3210bc3041fc || 0 0 1 || 0 0 1 ||
954363c45630b4e5bf01084151f56326 a893f4fcdb096a66f28969959018bf86 || 0 1 1 || 0 1 1 ||
3961fe8be4c2611da76484cfe369a582 85ca1330458874c5db300cac35047dee || 0 0 1 || 0 0 1 ||
d9021b679339fe177db200eff253f02a e09b3fb0e0a7764d76c0fe5de5ef5c92 || 0 1 1 || 0 1 1 ||
148f686b56f58fb084cad6ed708a13c2 bf86d4eed582023ba409cbd1e630f384 || 0 0 1 || 0 0 1 ||
6a66f7d9a9bbc539516a72ad6f051a20 9641faa9a3c1926d61adb9612465d748 || 0 0 1 || 0 0 1 ||
b3229ce8d4e39b782514e0a150b4e7d9 1c8115eec2035c513aab859469a549a0 || 0 1 0 || 0 1 0 ||
c6ea52141c52032ce57d2c374ee07562 3c8e0206de49d84a808c2355082944b4 || 0 1 0 || 0 1 0 ||
3f90cc7ec5e6702e39a819057d02c703 ac0191894b16fc8858675dddc3d7c079 || 0 0 1 || 0 0 1 ||
14f9a399a81135fd634eec776aa9e6c7 684a7fae575cddbc96dcfa81cca55fbc || 0 1 1 || 0 1 1 ||
935add63568711243597c3af30724b8f 64e9bb31e6bb1429317fe16753d6fded || 0 1 0 || 0 1 0 ||
5419edb520112b67a140e39f589e261c bf8993805b5095f8342ca089250308a2 || 0 0 1 || 0 0 1 ||
13cf8d7f3373ecdd38eb4a9808076b72 2a4f8139962a3f3017234a596a0ea7e3 || 0 1 1 || 0 1 1 ||
22e0f4c0bbc226f83053fe0ca6710c12 053031221e613a518f1fc1a91b8512ef || 0 0 0 || 0 0 0 ||
209004d01cdebf89ce4b659698c07181 f6fe4f44e06efa11f2856a1b4b1e2911 || 0 0 1 || 0 0 1 ||
1920ab1c727337c5724632eec3d1f1f1 12e004e0a2febd7890c489026e4820b1 || 0 0 0 || 0 0 0 ||
c2f31d51d13d60e8511c710387261429 b8e9bca8bc2af172b6431325c1498d62 || 0 0 0 || 0 0 0 ||
2f4d4cfa1309846e4572a0d7fa5ae455 a21001b2df33e0258eeaa938f3a8403a || 0 0 1 || 0 0 1 ||
8c032e22e16b378097e4ff645c1dde34 9736f75b579398de4564ce67f61b15a3 || 0 1 1 || 0 1 1 ||
50277b41ccb07473af6cb167581d8acd cfbeaac331f25275b3d88e1c305cbdbe || 0 0 1 || 0 0 1 ||
24cc7c1927cf3b015da0273ae58228d6 07e74ab83f6adfdec2ebd01cea94b4c9 || 0 0 0 || 0 0 0 ||
f9749061cb6487deae1c2ee71d65fcba b5086701e0bc40607f29548929bb8e53 || 0 0 0 || 0 0 0 ||
b2d5785f2ef00f53b5dbdd8484ce1336 5875d487d02de4ee4f9144496612ed50 || 0 1 0 || 0 1 0 ||
5288df172dfb0e820442f49e05a6e45c eb80658d89c16f2bf33c3f81f481436d || 0 0 1 || 0 0 1 ||
733858042bc52391caf1bcee8f67f2ee dccb597c4fc0c147e1ed44d3915b9652 || 0 0 1 || 0 0 1 ||
1bbfef33a9cd5d15001920a5b678c621 19e382884950fc427702701ee1395d1d || 0 0 0 || 0 0 0 ||
ffc0e32abf23b8db9167af68867a866f 027d2812ad0f21df551ac04555edd853 || 0 1 0 || 0 1 0 ||
1ef4ddd0a5f8b17cf6e019f6df289dac b74266319649bea338c795884f9e1ab9 || 0 0 1 || 0 0 1 ||
c9fce87c219083cf7e54bc8432bbec10 48f4c6508d8cb73af0e080b45fc1ba50 || 0 1 0 || 0 1 0 ||
c8e74680a2baae2e3ab8bbaa3afe5024 40734f5dbe4b42097279fdd622c7f180 || 0 1 0 || 0 1 0 ||
26b22baf6ba90b55735eb362495e7320 89cb76f534a4efa4eff97c39103eb99d || 0 0 1 || 0 0 1 ||
0bda34e8d88844e06f510627f5454426 06705b3b8ed0158804a0ebbcb4a355f0 || 0 0 0 || 0 0 0 ||
e7f769063538c4bc364b600525a5a6b6 3979b0a39133de051c95831dd1d7f8da || 0 1 0 || 0 1 0 ||
8e54bcd21d8d47a0ac05b4b5b84eb214 203c75739b57a8ec4723d538afc54416 || 0 1 0 || 0 1 0 ||
828408041bde228b80cbc59984509644 8d8c46306b02a45c2337b3bf656dd28c || 0 1 1 || 0 1 1 ||
d36db95f5fb49047602adf7644b5d5f0 b2054df72513027c877107e6aff4ab95 || 0 0 0 || 0 0 0 ||
d8d3db37768043e12c9642f3274cd5d9 e3246a62dbf549d45a5479b158226ada || 0 1 1 || 0 1 1 ||
d17d24bee18b4dcf9225d8f806df15df 099cc85f613732f7d2be99c4c4534e64 || 0 1 0 || 0 1 0 ||
c0cc02346af74e3db1d34b851f9d348f c26865ca59713c2c849b97d632ee1f54 || 0 1 1 || 0 1 1 ||
3668a422dd637dc6903d8f4d5cff9d1b 88a0549c95a78d04538fa8cd0d937c38 || 0 0 1 || 0 0 1 ||
64e8c6dc19340da95d818598b1ce1f5e 6853214a4ec8d35937ea21119c801743 || 0 1 1 || 0 1 1 ||
3569fe4cc372e966b3120a468347a8f9 a8355dece08235b162b068e48402cdd5 || 0 0 1 || 0 0 1 ||
f07e5fb09e2df25de02da02a9ab52750 714a2424f38eaaccba7ec6ceccc2217d || 0 1 0 || 0 1 0 ||
2557e4241e2dfe504a48f911da5fe93b 6c1d9c82d4092275380245ec65b470f8 || 0 1 1 || 0 1 1 ||
b70b1494bdc80887560037013b275dc0 04338b3dae4636ab622fccfc88b7405d || 0 1 0 || 0 1 0 ||
ba73a306a43da59412a6c84cc8d0f548 dc2217bed8e7d930fe7ad506972cbafb || 0 1 1 || 0 1 1 ||
e4cc60a4f391513e4ab3bcc0f709e961 7f041c8467a187861633298feb3dccd3 || 0 1 0 || 0 1 0 ||
0f12722315bcf32ebb65af27d9feb3bd d4e14f018ef5daa0a6ecb2668741ab2c || 0 0 1 || 0 0 1 ||
05ef8a1761759954cbab14d49be327f1 28758268ac7356c0c3b87fdbe9ea03cd || 0 1 1 || 0 1 1 ||
46513cae488cec4b6ef62cba5bc9d3b3 7a066a1565b80304540ad1b7ffc5a190 || 0 1 1 || 0 1 1 ||
28d9139bdf9884d04a0f5cfbfe07e1b9 d7455c8ca53f8460c13bd9be4ee9f098 || 0 0 1 || 0 0 1 ||
23f458f0237692299e3922564cb67d8e c3f41c5d7de7aaf41d28444b225be907 || 0 0 1 || 0 0 1 ||
845882940cf3525e7af39111ddc2badf 2ddf59ac083c77d41bf34541c20b53e2 || 0 1 0 || 0 1 0 ||
d7b15e459bbca39ec207058d1390770c a83fac497652da60f371751f5c77b4eb || 0 0 0 || 0 0 0 ||
fbdd15a2bde268d4b3db3a323e1495c1 17678b9b94179387d0a947c93161e80a || 0 1 0 || 0 1 0 ||
523e1b7a3c183d7c433d633cfc058ff7 b4a8f7516a9b7dafad8e94ace7928d12 || 0 0 1 || 0 0 1 ||
717c632e4a834e997ce821047cabd31b 58ec0d546228e80b312aa5c13b1e3548 || 0 0 0 || 0 0 0 ||
8f55ad7eca88365b7dbca9aff43e18d3 012e93938cca0228fc244598bfeb0a82 || 0 1 0 || 0 1 0 ||
859d57b6e8dbf0e50c38d769210a60ba 58c00772207b1fe60e8bdc85f1f6ee64 || 0 1 0 || 0 1 0 ||
7095b18b113ef374275b773ca7458362 3564d6b8aa0f9ecbf84b6c5b5e78404f || 0 0 0 || 0 0 0 ||
3be97923cc732d3235686e4b785c375a cc998eaf61d350c1efecb95337e80623 || 0 0 1 || 0 0 1 ||
755b892f1451e44af4ed5ff946413c2b 6d3e6e9a5f86e31d5d8be4c0fd159a18 || 0 0 0 || 0 0 0 ||
6f2185eaf015b1d5394647d999c8af74 5d3b7485c372361ebf16c8264b9b20ea || 0 0 0 || 0 0 0 ||
18ef31c8a7f5bce9978ac995c136d7d2 49b973a809c8e4899cbf34788ef21efb || 0 1 1 || 0 1 1 ||
7dcd9320cf54fc87e3e4a29bf547d67a c7d8f0c27807c118250b7dd22a97b434 || 0 0 1 || 0 0 1 ||
1780a132136fcde51d38ae8f7b2587b1 2bdf9679c66a434576725aedf0508ae3 || 0 1 1 || 0 1 1 ||
d5913e344ddb1757223dbc697cbacb5c d5bf8667383f46285b3e80bb5f5b890e || 0 1 1 || 0 1 1 ||
4828bddb575e4ca58430e8d0fc4475ec 29e146fcb2ffd8af4e5f51c524824ce0 || 0 0 0 || 0 0 0 ||
caa08116cb7004117967582631adf65c 992ad80d0fb92022fe0e778f1fdbcb0f || 0 0 0 || 0 0 0 ||
fdac40aa32a62bb98b66b86d1f52d552 950a630af0f5cdb6a0b180b142b71c2f || 0 0 0 || 0 0 0 ||
f16c71bda8c08c13047a97f8ffddaa23 ad01efb27a7affef61e31ac7058869b8 || 0 0 0 || 0 0 0 ||
4bf912903a512ba8bbac48e1745f407b 7a01651d3f43caeb731f865b1dd068b6 || 0 1 1 || 0 1 1 ||
e522e81d2cb59c150775f340bea0cd3c c896a4486c69aad5114b1d4cd18d5a35 || 0 0 0 || 0 0 0 ||
1ae4e6b7c73417d8d3a82947772ba12c d77c6de1f868cf48edb6f7c7532ebbb0 || 0 0 1 || 0 0 1 ||
ce191a1444624dcc1c88ebd7b6b41823 4111530c26bd27702a4697e093327d63 || 0 1 0 || 0 1 0 ||
7eb099f84c77a1cce55e3bad23f19ce7 463be50ec6f423cb9bedd98e6d49b1a9 || 0 0 0 || 0 0 0 ||
57173b48ce8e21eefb2416549ccb6f7d 15c905882d4a16233045193d8c833b78 || 0 0 0 || 0 0 0 ||
b2470fb7f6e7412a0c8d97846f187403 34fe9d92da76a173d61364b9b317d265 || 0 1 0 || 0 1 0 ||
b175e2609867bc052fee27df1947d066 cc2f018b3553ccc5105be6df4625591d || 0 1 1 || 0 1 1 ||
d4aa8e89e7134be1f14904456d779153 c12c4e2a632d5bc2704613182d4d666f || 0 0 0 || 0 0 0 ||
e6a5a93d55bbf8922e6075b148fc6288 dabac507b74e2f270aee808892c8e482 || 0 0 0 || 0 0 0 ||
6a52da73e1376c38a4534b5635ebcbe4 d139b948ba18c055a922fecca174e263 || 0 0 1 || 0 0 1 ||
0dc70a37fa27f856c517b75987dbdb49 37f3617f1ccad1762f0c2bbbf356be90 || 0 1 1 || 0 1 1 ||
256a2fbf89898cdefb79988d5d2aee58 61abf45526a2d1a48e7afc363bd6504b || 0 1 1 || 0 1 1 ||
d8ef2c57d027ecdcfc2a3439576f4b1e f56f8d19b54384105439577b438ae14f || 0 1 1 || 0 1 1 ||
0176220293108cb447332f08981e4d6a ef70f6884682d51dd5181a5d86dfc5ee || 0 0 1 || 0 0 1 ||
10fb2f320d9883066b59e075fd025a46 46b05b1a92771ad91a9b4e5b054b56a3 || 0 1 1 || 0 1 1 ||
4c8f8147c96104a920b9f1f4c1e109d5 e8694a152f1b3852817fe73582646555 || 0 0 1 || 0 0 1 ||
83bc535cfbba8c9d818697fa986304dc b0b2877c24655bab3e2551df850ec879 || 0 1 1 || 0 1 1 ||
149e99361cf5abe463ab0c9a78d80882 f44e30557c10b516b577f4c340aa91c1 || 0 0 1 || 0 0 1 ||
6ab5b60d308e9cc9178bb2443f80b861 1da07f524f26c1ee811f0a74f40a1121 || 0 0 0 || 0 0 0 ||
320712d0bdb89c630552d30e367f72ec 7be87b80a63ab6f2c3c93741a10cda5e || 0 1 1 || 0 1 1 ||
d7ca01c8a0f9696ce0dc3a0a7956f453 8b86e1a40888e8952ff61f95bf518cc2 || 0 0 0 || 0 0 0 ||
24fdc45554b1338b402fe20811fc6074 502eeef12bcc58144ec99b7ad5943857 || 0 1 1 || 0 1 1 ||
b873371483571ab45330f545c9e2c987 1fa141a0e3faac43ba7754345e0f2710 || 0 1 0 || 0 1 0 ||
d972788646c3894ee79bcf45a016b36b ea21d9ab123becfa46668fdc3d8e38cd || 0 1 1 || 0 1 1 ||
c88eaec913f61d36f66520eb8febc13e 865cac4c26085d9fbbc5c5f73f88799b || 0 0 0 || 0 0 0 ||
ae7b61697a5b8fbfae6b2bfdfae86ffe 5d2e3467e515e7f3f08f5a9a8eabf0d7 || 0 1 0 || 0 1 0 ||
16911cf39ad1c7079975a7db2228a4df 2e9bd32c16ded21c69bf028b70eceba6 || 0 1 1 || 0 1 1 ||
e56a3808ad5ecf1e1fd583a9381800a4 1cd0e7a4423c7669a77c68f00b678e60 || 0 1 0 || 0 1 0 ||
d81a75d675c31a053afa07241a51a9a3 25d6855eef178cb4a045da63ae16d71c || 0 1 0 || 0 1 0 ||
08d1684fffa11bfa33fe9ea41fed5fce 673c7be5561571b60066d37ea846758a || 0 1 1 || 0 1 1 ||
b99032c7b185c247b3c53cedfb601dcb 494feb6e8411909437fccc07948c5d65 || 0 1 0 || 0 1 0 ||
796c5c75ecf03af21f9db2df61ef7a6b 888c1f65a9e4b25aebbcac3d11f2be3c || 0 0 1 || 0 0 1 ||
00348bbc9c642c6e14875db93f56e47c 978e77b3f0736bd281caf82834da1e4a || 0 0 1 || 0 0 1 ||
7a7b10329b76c7e813beba20a9e26a5c 2356bbf0afd86200691d8e293872ee4c || 0 0 0 || 0 0 0 ||
0ad78a12e63eb403ee3e8adb2f88c019 733938cc02ad34a595557628e8b36cae || 0 1 1 || 0 1 1 ||
1183a501285683baf70aeb584e6b0d0d b32321ae75e6361dee23fb35d80441e8 || 0 0 1 || 0 0 1 ||
bf3a3080e660f028dc7fe8da92745f41 717f68bb4b34cdeceda50ee10636c1e8 || 0 1 0 || 0 1 0 ||
0afa3d347b9c7e831b55d7a87c96b325 2e21e724440fd561e88b7d62fe777be1 || 0 1 1 || 0 1 1 ||
64e62f411dfd9ac9d73c9a4e37817aa0 6b4e5f0ed1ac0dd3436a5f795d579ee8 || 0 1 1 || 0 1 1 ||
de9b7d79878aa70d7304fde47fde9092 d4ea601b9440bd7130158e54f86b17e2 || 0 0 0 || 0 0 0 ||
91cd48e91e86541584d71d5c57617ebc b574b68e2009f219dd7843ad1d8581f7 || 0 1 1 || 0 1 1 ||
e917dc090902702e10d8300bbd0ec366 311c38bcafc1f21db1bd0b08807d5ac7 || 0 1 0 || 0 1 0 ||
ff22c01fd941e45d52c87bd9b293a8bd 79b9ac780770aec9f842216aabc10a8d || 0 1 0 || 0 1 0 ||
c6c9f2d681e01791db44cc09af304733 21435e7ce4e8cdabb22a5660a901f1ef || 0 1 0 || 0 1 0 ||
0f5ec499fb23de4427a6c8413eb23222 954145c698df91d64f10da56ed2ca418 || 0 0 1 || 0 0 1 ||
29ad058e032aaada1bdb7ea7101b2495 2b0f875b7038f0656b8badee6f4fe4d3 || 0 1 1 || 0 1 1 ||
33151642ddd26dfeef889c0d23f4d0fe eace78d277d49077998bb93307334030 || 0 0 1 || 0 0 1 ||
b63c890a27d0062cc2559bcd03ad23af a6ada4aec1e2f75f6fca2a5d1a13ae9d || 0 0 0 || 0 0 0 ||
9f9553b887eabdb9e44fe52328e57444 e2019183c584c162697db29c4491213d || 0 1 1 || 0 1 1 ||
7db4f84ef36c713342d2b4be984d4033 e16fa946ac2ccf6085d50b8ef431bbde || 0 0 1 || 0 0 1 ||
279f9799d056694ac44ccff6e4e049c3 319df2409d7007b91257513954ae5605 || 0 1 1 || 0 1 1 ||
df53c4af57a5edeed73461efbdc2887a 2d65f70cab2b6a10c32e6ab24a34f68d || 0 1 0 || 0 1 0 ||
5d76ba05b95fead342236e1787c6313e e054b8c4d2477b28d8ba488029fb18fa || 0 0 1 || 0 0 1 ||
c5777723ca68d435d835bba17297ff84 8f59301b9a96dff52b2dda98fede6b5f || 0 0 0 || 0 0 0 ||
73ccbd72a70fe65896833d1607d88faa fcc859c9ee2c4bb5d5f5c9c86f7fff27 || 0 0 1 || 0 0 1 ||
694797b1225946782ccdf7eab4d3eecf 79673d3b4c03aee1a7a25e67fe953570 || 0 1 1 || 0 1 1 ||
3335c9e4611bd5aabcca140ff2983aee d87c53907f13902e3d3927d8698796e1 || 0 0 1 || 0 0 1 ||
969481dcc93c24bfbadd709de206c7e5 2dbb4510c03039c778c8d1b0ab7dd5d7 || 0 1 0 || 0 1 0 ||
064847d93873c70c47fdf7179fb95028 969363edf70637e0b7ff38069952f566 || 0 0 1 || 0 0 1 ||
18e1f87c24d4564f3d131a327b2129c0 00f5f67e7f7bd2e8d74d47c152e3b31a || 0 0 0 || 0 0 0 ||
65d55c60d09e8a7dd5f4870a39e14b30 3333de678918c1fe856b81c4953f2a10 || 0 0 0 || 0 0 0 ||
9544211f439dafc23b252de74da035d4 f4fdb996775832f680a6df38c6952cb1 || 0 1 1 || 0 1 1 ||
1b67c28e7e517ebeb9f51fbb2c7af10a c50545fd9c5b5654f781cf27e3c310c7 || 0 0 1 || 0 0 1 ||
ad4d0fdbb7ceef93a3d636e29e020d5c 56bbce7ee713ca7dc749d1b6d58bcaaa || 0 1 0 || 0 1 0 ||
bc357dab1b43dd1a1733bcf2fe781106 59f1d3e8c0e0f2cc5faae37a7bb5cce3 || 0 1 0 || 0 1 0 ||
07132831b03342543287d9d3bac0215d b3543e30bacafc7c757315ba72d47387 || 0 0 1 || 0 0 1 ||
30b547f041d4628b3c464ff1da53236e f0cddc287b8767a218a55e1e92f85531 || 0 0 1 || 0 0 1 ||
1b32c36f6ace215bbe09d8f83165745f 2a199667931ad7ef5caa1b98e196d8f8 || 0 1 1 || 0 1 1 ||
dddcb3b195b2b701a93a460a550c7f31 12a04d3820d16864ce4b4b8a729dd4c0 || 0 1 0 || 0 1 0 ||
594e8248d6554583e0da4e68ab004e67 05760d2150dd278d3340443a0447a97a || 0 0 0 || 0 0 0 ||
26146bd0bfeaaecdb55e22a2e6f36bfe a4ba249eed1e210872b9764831e13810 || 0 0 1 || 0 0 1 ||
77aad6f34ba6cc5ea3d2cb7341fbdddc d676f0b435501a6bd96ff32c67533447 || 0 0 1 || 0 0 1 ||
00f539edae15bc0ba65f9b89c570f0ab 3e59d4a811a47c321716cb1d26589f19 || 0 1 1 || 0 1 1 ||
cf76c912bc83b686fc3dacb40022ecd6 48efcf863f514891d2873c3627be7ab4 || 0 1 0 || 0 1 0 ||
ff15b97cd73744230aafc7654a2d8b2a f15b269ca05e2ebba7877ed8251c17a4 || 0 0 0 || 0 0 0 ||
067076ac4437a32b0405a9d32e6ac090 9ce9c81c0b147d103ee7da780dbdbc70 || 0 0 1 || 0 0 1 ||
81638a4fecd2c208a37a09c9b2232485 4e7555f2d5ee71155f5d416a1dd82b6e || 0 1 0 || 0 1 0 ||
a82d446ef1fc39e52d4c757a0636569d c3e196eb2a54b45e0b0b937db2512feb || 0 1 1 || 0 1 1 ||
7c5bf2ce960d368fb4ac4fc85918ee3c b83307d57b992395f3c0885b46fb15a8 || 0 0 1 || 0 0 1 ||
40265a329c4459bc683180588d3c9cdd d2cdebb8614488043797014f84a0cddf || 0 0 1 || 0 0 1 ||
bf022e64fb974730fb0b892181d999f9 1f913a1183a43fbcb39b4eb862659480 || 0 1 0 || 0 1 0 ||
6ab58cb7916883d4fe9336a82cd96b31 0f918f63798007a8e7ba7d04aa928d5f || 0 0 0 || 0 0 0 ||
0d62c78bf95b2b32bc82e1749a3509ce 625428d0c6717ecbc08a5b23d1b98162 || 0 1 1 || 0 1 1 ||
a64f019cf1ef58841986d7e2220f5e3b 251aaa6ba52e5106c7e8640078256f57 || 0 1 0 || 0 1 0 ||
e8386e7c3d582064b5459c716216b846 b7438b005289fb3793158c1334c2e917 || 0 0 0 || 0 0 0 ||
0e0b39700cf07d8eeca7376efadc7905 63b52c579cf9c39bcc3ee7473c15d770 || 0 1 1 || 0 1 1 ||
4ae14b6f8a911d281ee522233bfc73a2 e73639824db541c30f18e2a8086d4bd8 || 0 0 1 || 0 0 1 ||
238140eed56b09fb5ef2d0152eb9e331 c8d15a945967c1010715236066f1406b || 0 0 1 || 0 0 1 ||
7cc4047efd5b8c51040f39de7a774183 f8ea01ec1943a7eff2ae26d33455cbd5 || 0 0 1 || 0 0 1 ||
d0a2024622861e1e4a04beadc3090c3b 461681b6092a7021f4f1051b931c7ece || 0 1 0 || 0 1 0 ||
1d64903382812ff78f57017f12e59b4d ec54b7d6ed3a5023e347b52451d60a8a || 0 0 1 || 0 0 1 ||
c98faca6129a4c7a777384f189f44e7d fe2f1972fb88a6ff1387c1098ca7307f || 0 1 1 || 0 1 1 ||
ec84da2e88769cd127126eae19e812ea e83796f5953bda47189062e3c09dfff6 || 0 0 0 || 0 0 0 ||
55137900fa0a1b76ed27cadc4bd0fd72 93b0e6fae6ae70ecf359587ecd009528 || 0 0 1 || 0 0 1 ||
9a4b10002a18baed3ef7fc267af9e28e 7f5b5b7aa6a9408c4ee7a0831c1b57cc || 0 1 0 || 0 1 0 ||
1b6037b820186bec7e4b96d2bd98cd61 e9c181a8e3d51d4979ba2d6730a15d8d || 0 0 1 || 0 0 1 ||
c8e7a5b9d9e5bb86ab21496a79306364 c0384b9c14186891ce863d428bbe42b4 || 0 0 0 || 0 0 0 ||
f4e17eefa36d22cab41a7321f5cdc12e d1cd18f001117ebab9e1da032d11dc50 || 0 0 0 || 0 0 0 ||
9a68d5cf44043e22747d9ef8158e2bd1 df996e3e1d229e25b338ce1f520d1b53 || 0 1 1 || 0 1 1 ||
69b8cbf250f6f24d85b3a702b11bcebe 69802f5a3ab15b1ecfaf7544ac481276 || 0 0 0 || 0 0 0 ||
8c0867f5400ac6eb13a27a88334f88b0 cad0200aa9b55b5befc3e99b1e39b04b || 0 1 1 || 0 1 1 ||
