c859cba7 a700a759 || 0 0 0 || 0 0 0 ||
9906e53a ecc36857 || 0 1 1 || 0 1 1 ||
e41fb406 844e33b9 || 0 0 0 || 0 0 0 ||
95cd128b f9ba24d6 || 0 1 1 || 0 1 1 ||
5a45c346 079f9c9d || 0 0 0 || 0 0 0 ||
877e6de5 b4481e83 || 0 1 1 || 0 1 1 ||
8a9c928b fd05fe81 || 0 1 1 || 0 1 1 ||
35635b86 2a4d0301 || 0 0 0 || 0 0 0 ||
0e1ea883 19aa024c || 0 1 1 || 0 1 1 ||
66da9563 9d9252b6 || 0 0 1 || 0 0 1 ||
cfb8e842 1dd506bb || 0 1 0 || 0 1 0 ||
48237e43 912c8d10 || 0 0 1 || 0 0 1 ||
2e036466 2d6ebb7b || 0 0 0 || 0 0 0 ||
0c0e85dd e207cc8f || 0 0 1 || 0 0 1 ||
bd19b24c bb07d184 || 0 0 0 || 0 0 0 ||
679e2ebf 96513fb6 || 0 0 1 || 0 0 1 ||
61ce8891 c7a71c50 || 0 0 1 || 0 0 1 ||
e6d87f19 874f63e7 || 0 0 0 || 0 0 0 ||
ae5deaa7 b6dd57b8 || 0 1 1 || 0 1 1 ||
3f20edd7 e08af067 || 0 0 1 || 0 0 1 ||
1d34f892 67a1ea0c || 0 1 1 || 0 1 1 ||
edaac8e0 20d8790f || 0 1 0 || 0 1 0 ||
667a902f d9b62330 || 0 0 1 || 0 0 1 ||
51973e00 cfb501e6 || 0 0 1 || 0 0 1 ||
bf29bece 729b9ee1 || 0 1 0 || 0 1 0 ||
a0b98f6e f48e88f2 || 0 1 1 || 0 1 1 ||
64647f05 d8d123eb || 0 0 1 || 0 0 1 ||
dfd60d59 588557bb || 0 1 0 || 0 1 0 ||
84b0a5d6 de82fbab || 0 1 1 || 0 1 1 ||
03d3f5c0 5dae04e4 || 0 1 1 || 0 1 1 ||
b3c8218b 4636e078 || 0 1 0 || 0 1 0 ||
c6889cba ea98d5c6 || 0 1 1 || 0 1 1 ||
0d0332c4 dc524cd8 || 0 0 1 || 0 0 1 ||
c23c7259 a4ad92c6 || 0 0 0 || 0 0 0 ||
92bcabce 695fe6f8 || 0 1 0 || 0 1 0 ||
acba259d 1d93d7e3 || 0 1 0 || 0 1 0 ||
4c5f759b 008fa343 || 0 0 0 || 0 0 0 ||
51038a75 70b2927c || 0 1 1 || 0 1 1 ||
7cac5462 1db12efb || 0 0 0 || 0 0 0 ||
6be989bb 37f73fe2 || 0 0 0 || 0 0 0 ||
ff2ae6df 79c7e484 || 0 1 0 || 0 1 0 ||
bb908175 a94193c7 || 0 0 0 || 0 0 0 ||
401e93cb 56bf4727 || 0 1 1 || 0 1 1 ||
c0a7a559 661282b9 || 0 1 0 || 0 1 0 ||
0f401554 91de3d01 || 0 0 1 || 0 0 1 ||
67637235 50f08cb3 || 0 0 0 || 0 0 0 ||
542771ce 5944cc62 || 0 1 1 || 0 1 1 ||
b341e8f5 516c42e4 || 0 1 0 || 0 1 0 ||
3ee92211 a556be0c || 0 0 1 || 0 0 1 ||
6da62ad6 4ae8f200 || 0 0 0 || 0 0 0 ||
a5aeaa17 48fc1bb7 || 0 1 0 || 0 1 0 ||
f22277c4 4985c4d6 || 0 1 0 || 0 1 0 ||
2f98eee7 acd3205d || 0 0 1 || 0 0 1 ||
97205e58 9b997227 || 0 1 1 || 0 1 1 ||
c358d3b9 75b36bb4 || 0 1 0 || 0 1 0 ||
40908004 060eed9d || 0 0 0 || 0 0 0 ||
02291b71 75bfcd4c || 0 1 1 || 0 1 1 ||
422b075e 1d2ac1b5 || 0 0 0 || 0 0 0 ||
2bb30a24 044de8b6 || 0 0 0 || 0 0 0 ||
d399bab5 6ff9008d || 0 1 0 || 0 1 0 ||
91413d7c 0445b514 || 0 1 0 || 0 1 0 ||
73eac9d4 f0c947f6 || 0 0 1 || 0 0 1 ||
fa997272 54cc6eee || 0 1 0 || 0 1 0 ||
df15d4e0 5c9dfa8d || 0 1 0 || 0 1 0 ||
d1730d36 b7ae57f1 || 0 0 0 || 0 0 0 ||
5de4161d 562b8f6e || 0 0 0 || 0 0 0 ||
1597e133 e8994278 || 0 0 1 || 0 0 1 ||
cf25b32b 0a34bc03 || 0 1 0 || 0 1 0 ||
fc917a93 08382ad5 || 0 1 0 || 0 1 0 ||
df530d76 2f507286 || 0 1 0 || 0 1 0 ||
8e5a2611 220c4c9e || 0 1 0 || 0 1 0 ||
bd618966 1016effe || 0 1 0 || 0 1 0 ||
1042e32d 46a78f4d || 0 1 1 || 0 1 1 ||
5ec2d3a1 bbf4b39b || 0 0 1 || 0 0 1 ||
e1c9ba1b 223bcd86 || 0 1 0 || 0 1 0 ||
3283f804 9f45699e || 0 0 1 || 0 0 1 ||
b083615e 58a3d7c8 || 0 1 0 || 0 1 0 ||
57421c3f 0da3a10f || 0 0 0 || 0 0 0 ||
579077d5 fda01d52 || 0 0 1 || 0 0 1 ||
5f7cb98e d9188f8d || 0 0 1 || 0 0 1 ||
8af1c3ec 51b69a94 || 0 1 0 || 0 1 0 ||
6dd62888 cda9fb60 || 0 0 1 || 0 0 1 ||
b1e0c4de 3a3a4a13 || 0 1 0 || 0 1 0 ||
d063631e ca68becc || 0 0 0 || 0 0 0 ||
f627b9db fd7ec87a || 0 1 1 || 0 1 1 ||
34223611 b9885540 || 0 0 1 || 0 0 1 ||
3df41258 865aded8 || 0 0 1 || 0 0 1 ||
82429dcb ca488be0 || 0 1 1 || 0 1 1 ||
66ef8de5 95af1d57 || 0 0 1 || 0 0 1 ||
11bec099 7645b9b0 || 0 1 1 || 0 1 1 ||
45916e3c f251e545 || 0 0 1 || 0 0 1 ||
bb1c477d d79ecd0c || 0 1 1 || 0 1 1 ||
fe8ae3c7 380e82f8 || 0 1 0 || 0 1 0 ||
dfbc7c3a 2ebf3ea2 || 0 1 0 || 0 1 0 ||
db93d962 95577a03 || 0 0 0 || 0 0 0 ||
22cc2138 1de395c0 || 0 0 0 || 0 0 0 ||
5585fff9 3e85f612 || 0 0 0 || 0 0 0 ||
2fa151f8 becc3894 || 0 0 1 || 0 0 1 ||
c25a6bb8 d475964d || 0 1 1 || 0 1 1 ||
0c360013 7ad87f8d || 0 1 1 || 0 1 1 ||
52d059fe 5bc3b01f || 0 1 1 || 0 1 1 ||
997577e5 acf858b3 || 0 1 1 || 0 1 1 ||
0e3199c8 7de9a975 || 0 1 1 || 0 1 1 ||
1111c03d 29688a64 || 0 1 1 || 0 1 1 ||
d1aaddbe c124395c || 0 0 0 || 0 0 0 ||
7561fc86 f9622295 || 0 0 1 || 0 0 1 ||
56a4406b 80071fee || 0 0 1 || 0 0 1 ||
e776a9b8 148622f1 || 0 1 0 || 0 1 0 ||
71f9628a e253acd6 || 0 0 1 || 0 0 1 ||
eaac275f 16045efc || 0 1 0 || 0 1 0 ||
de5f27f1 0c8b1a2d || 0 1 0 || 0 1 0 ||
33c25c87 bd0e9ab5 || 0 0 1 || 0 0 1 ||
b2db3a5f 501f32b8 || 0 1 0 || 0 1 0 ||
6631139e 3288d9a4 || 0 0 0 || 0 0 0 ||
f52c3711 0d056868 || 0 1 0 || 0 1 0 ||
9af59926 7cb08271 || 0 1 0 || 0 1 0 ||
8ecf18cb babf6396 || 0 1 1 || 0 1 1 ||
021ffcf3 5f7a8127 || 0 1 1 || 0 1 1 ||
e1c961a9 1a0e13ca || 0 1 0 || 0 1 0 ||
193c04b7 b2828079 || 0 0 1 || 0 0 1 ||
8393e303 95c048c1 || 0 1 1 || 0 1 1 ||
745d958d ca0514d0 || 0 0 1 || 0 0 1 ||
65cfc3ee 0f8a2c66 || 0 0 0 || 0 0 0 ||
202deff7 27db26c5 || 0 1 1 || 0 1 1 ||
c5537ecb c94165cf || 0 1 1 || 0 1 1 ||
e69c6e8b c038b554 || 0 0 0 || 0 0 0 ||
2d487123 071b64c0 || 0 0 0 || 0 0 0 ||
81da88e5 92d38030 || 0 1 1 || 0 1 1 ||
37336f19 28fb4829 || 0 0 0 || 0 0 0 ||
bb7be07c a85f4c5b || 0 0 0 || 0 0 0 ||
7326b175 3b685ca2 || 0 0 0 || 0 0 0 ||
4b6aa0fd 1b64a2c7 || 0 0 0 || 0 0 0 ||
f26add56 0281b439 || 0 1 0 || 0 1 0 ||
448f94c0 1af2f91b || 0 0 0 || 0 0 0 ||
1da93ba2 2887791e || 0 1 1 || 0 1 1 ||
386d783e 7b7f2385 || 0 1 1 || 0 1 1 ||
ad4bd085 c467673b || 0 1 1 || 0 1 1 ||
a65f5f0e e03c89eb || 0 1 1 || 0 1 1 ||
af151694 bebf69c3 || 0 1 1 || 0 1 1 ||
a3ecac96 af23bba3 || 0 1 1 || 0 1 1 ||
5106db89 5772c602 || 0 1 1 || 0 1 1 ||
a2ec9436 c8e983a8 || 0 1 1 || 0 1 1 ||
fff222dd 805cdab8 || 0 0 0 || 0 0 0 ||
70de59c0 f5c6280c || 0 0 1 || 0 0 1 ||
8c53b201 07e759f7 || 0 1 0 || 0 1 0 ||
ece1dbb6 1bb3bab3 || 0 1 0 || 0 1 0 ||
ba082499 21dba257 || 0 1 0 || 0 1 0 ||
7208f8ed 554e3aea || 0 0 0 || 0 0 0 ||
0b4be85f 7036071c || 0 1 1 || 0 1 1 ||
6155ceb5 1794dbbb || 0 0 0 || 0 0 0 ||
2b3c6958 06614c8c || 0 0 0 || 0 0 0 ||
93335bdb af802000 || 0 1 1 || 0 1 1 ||
06c57f69 6333ed7f || 0 1 1 || 0 1 1 ||
1e454901 c5290140 || 0 0 1 || 0 0 1 ||
a3b96f0c 86828c81 || 0 0 0 || 0 0 0 ||
46c1b2eb a8b0ab38 || 0 0 1 || 0 0 1 ||
bf791a12 f68e8165 || 0 1 1 || 0 1 1 ||
1e4eab31 9df0087f || 0 0 1 || 0 0 1 ||
658b7acd 0de968dd || 0 0 0 || 0 0 0 ||
6bba9ddb ba956ce3 || 0 0 1 || 0 0 1 ||
e0f02e8c 17c6bece || 0 1 0 || 0 1 0 ||
78079539 72395612 || 0 0 0 || 0 0 0 ||
2958462a 91976c2a || 0 0 1 || 0 0 1 ||
9c62958e 394f7cea || 0 1 0 || 0 1 0 ||
7c14a2c7 7d45adc5 || 0 1 1 || 0 1 1 ||
fe748d7b 350090bf || 0 1 0 || 0 1 0 ||
3cb9b28d 7405b797 || 0 1 1 || 0 1 1 ||
ddc5b4d1 b41422f0 || 0 0 0 || 0 0 0 ||
64e79039 d1e991d0 || 0 0 1 || 0 0 1 ||
9479b5d9 6592d963 || 0 1 0 || 0 1 0 ||
45cb5798 e2c5b802 || 0 0 1 || 0 0 1 ||
6760dbbe dd025a4f || 0 0 1 || 0 0 1 ||
21f48db3 3ec4b151 || 0 1 1 || 0 1 1 ||
2eab32ae a9e76f0d || 0 0 1 || 0 0 1 ||
3bc6a596 02f4358b || 0 0 0 || 0 0 0 ||
2434566d 5cf76049 || 0 1 1 || 0 1 1 ||
4b855839 8112bee6 || 0 0 1 || 0 0 1 ||
32dec38b e763420d || 0 0 1 || 0 0 1 ||
8e83eb98 603db24d || 0 1 0 || 0 1 0 ||
2413606b a02d6ebe || 0 0 1 || 0 0 1 ||
2fd7dd63 9a2b2659 || 0 0 1 || 0 0 1 ||
099e2ea6 71cfe89c || 0 1 1 || 0 1 1 ||
367bfbee 50d495ee || 0 1 1 || 0 1 1 ||
6f3fcd62 7fe5d649 || 0 1 1 || 0 1 1 ||
9955eafb 81540c85 || 0 0 0 || 0 0 0 ||
04890ba0 a33567e4 || 0 0 1 || 0 0 1 ||
65f0b93f acadaa43 || 0 0 1 || 0 0 1 ||
f67c6e64 37f780fc || 0 1 0 || 0 1 0 ||
98453939 989fe682 || 0 1 1 || 0 1 1 ||
b9fae670 026584a0 || 0 1 0 || 0 1 0 ||
4827cc81 98d50f53 || 0 0 1 || 0 0 1 ||
560a82b0 a50e003f || 0 0 1 || 0 0 1 ||
c763e159 9ee2f62a || 0 0 0 || 0 0 0 ||
dffca814 fda8e58d || 0 1 1 || 0 1 1 ||
1b9aedee b8f7c37b || 0 0 1 || 0 0 1 ||
697e37e2 d65265c0 || 0 0 1 || 0 0 1 ||
78d8efd8 e12b6dd3 || 0 0 1 || 0 0 1 ||
a964df7c 127abc1f || 0 1 0 || 0 1 0 ||
f068e24f 4c857bae || 0 1 0 || 0 1 0 ||
c00c09d6 824db75c || 0 0 0 || 0 0 0 ||
99f5891a 601d7c8d || 0 1 0 || 0 1 0 ||
00fe87d1 b0cf75d6 || 0 0 1 || 0 0 1 ||
46b02f11 a3b394a2 || 0 0 1 || 0 0 1 ||
52e48b8b 1406b5cc || 0 0 0 || 0 0 0 ||
7fd694fd 22005b54 || 0 0 0 || 0 0 0 ||
790b8d2d f5d86089 || 0 0 1 || 0 0 1 ||
acc8711b c826c7e8 || 0 1 1 || 0 1 1 ||
dd15eaba 4d892175 || 0 1 0 || 0 1 0 ||
3d86175b 60507322 || 0 1 1 || 0 1 1 ||
70128138 9850c3b6 || 0 0 1 || 0 0 1 ||
26ba304b 6acd18bb || 0 1 1 || 0 1 1 ||
43061b2b b6587444 || 0 0 1 || 0 0 1 ||
afe2baea 15912f52 || 0 1 0 || 0 1 0 ||
0839598c d0e44842 || 0 0 1 || 0 0 1 ||
5855df4d b3a0fb94 || 0 0 1 || 0 0 1 ||
644e22bd 69da7ae0 || 0 1 1 || 0 1 1 ||
a4ff8770 5f9cec5d || 0 1 0 || 0 1 0 ||
b729cea7 4f54b7b4 || 0 1 0 || 0 1 0 ||
034c0894 b02c4784 || 0 0 1 || 0 0 1 ||
d30383d6 bfdc12bd || 0 0 0 || 0 0 0 ||
6db7e28b 9bab0775 || 0 0 1 || 0 0 1 ||
24bf96e3 e37436d4 || 0 0 1 || 0 0 1 ||
6fbd7075 12790fb9 || 0 0 0 || 0 0 0 ||
9c19f0c1 95cafd33 || 0 0 0 || 0 0 0 ||
45882e33 1f2f893d || 0 0 0 || 0 0 0 ||
d2b8a7ba feba8790 || 0 1 1 || 0 1 1 ||
af110d31 f284f400 || 0 1 1 || 0 1 1 ||
0ee6ef69 3b68d990 || 0 1 1 || 0 1 1 ||
821e35c6 9a31b66c || 0 1 1 || 0 1 1 ||
97a0b192 47d8f1b1 || 0 1 0 || 0 1 0 ||
4b86512d 459bc17c || 0 0 0 || 0 0 0 ||
b32d3e9d 453dec0d || 0 1 0 || 0 1 0 ||
52285803 9d97975b || 0 0 1 || 0 0 1 ||
a0a9b982 7cdd757d || 0 1 0 || 0 1 0 ||
0aeaba86 52232be2 || 0 1 1 || 0 1 1 ||
5e3de3d3 6f7e666d || 0 1 1 || 0 1 1 ||
b0fcc546 d9aa64b9 || 0 1 1 || 0 1 1 ||
19b3c0c7 446a6a47 || 0 1 1 || 0 1 1 ||
101b32c1 71ce179e || 0 1 1 || 0 1 1 ||
d203c670 a95c38e9 || 0 0 0 || 0 0 0 ||
5ad56701 0750738e || 0 0 0 || 0 0 0 ||
279fdd3e 32a555d9 || 0 1 1 || 0 1 1 ||
e0dbc7bb 8b542d8d || 0 0 0 || 0 0 0 ||
b0c94e41 24f978c2 || 0 1 0 || 0 1 0 ||
4d66bf53 1282d6a0 || 0 0 0 || 0 0 0 ||
c5225fdc 38e70a01 || 0 1 0 || 0 1 0 ||
1329633c a79d9b70 || 0 0 1 || 0 0 1 ||
a8f4bf39 1da538b4 || 0 1 0 || 0 1 0 ||
5b65d801 d84d914a || 0 0 1 || 0 0 1 ||
574ae745 95bf910a || 0 0 1 || 0 0 1 ||
d25103eb 04729043 || 0 1 0 || 0 1 0 ||
e8e1be8a 222c8036 || 0 1 0 || 0 1 0 ||
4a3b4436 c9b4f2f1 || 0 0 1 || 0 0 1 ||
231ccceb e04ca562 || 0 0 1 || 0 0 1 ||
2b0a57ea 5664e9d0 || 0 1 1 || 0 1 1 ||
b02974c7 eccf55fe || 0 1 1 || 0 1 1 ||
4488d7cb 24eefb18 || 0 0 0 || 0 0 0 ||
f471334d b2de5fa8 || 0 0 0 || 0 0 0 ||
cc0348b8 254da03b || 0 1 0 || 0 1 0 ||
eda43c2f d6ed87af || 0 0 0 || 0 0 0 ||
c4fa1467 bc732cc4 || 0 0 0 || 0 0 0 ||
9a217c88 44f5e9b4 || 0 1 0 || 0 1 0 ||
6039d1a7 c6a4d383 || 0 0 1 || 0 0 1 ||
d71571d3 2f981fa3 || 0 1 0 || 0 1 0 ||
69ee0e8e 3a3bfa55 || 0 0 0 || 0 0 0 ||
74e0b4cb 58952872 || 0 0 0 || 0 0 0 ||
bc84a377 59b8221f || 0 1 0 || 0 1 0 ||
675aa868 c580f641 || 0 0 1 || 0 0 1 ||
9a090dd7 51eac844 || 0 1 0 || 0 1 0 ||
0966263a e630f9fc || 0 0 1 || 0 0 1 ||
4d3e3c04 5464b030 || 0 1 1 || 0 1 1 ||
1618cceb d8d3ff72 || 0 0 1 || 0 0 1 ||
c6e30220 8f41f064 || 0 0 0 || 0 0 0 ||
4c483fc3 754051a8 || 0 1 1 || 0 1 1 ||
27e2aea1 90be4dee || 0 0 1 || 0 0 1 ||
53191625 d9c58da4 || 0 0 1 || 0 0 1 ||
357fbfc4 c172d501 || 0 0 1 || 0 0 1 ||
db33d144 7e44af67 || 0 1 0 || 0 1 0 ||
390c60b3 9a8bb248 || 0 0 1 || 0 0 1 ||
c7344fc0 efa0583f || 0 1 1 || 0 1 1 ||
c91719c5 9c678dd8 || 0 0 0 || 0 0 0 ||
b87e141c cecbed4e || 0 1 1 || 0 1 1 ||
dac6aacf 6e2df608 || 0 1 0 || 0 1 0 ||
c63f3272 735434e4 || 0 1 0 || 0 1 0 ||
42fe8f8c d08984e5 || 0 0 1 || 0 0 1 ||
588dafd5 387bf122 || 0 0 0 || 0 0 0 ||
f2079d56 8e08619a || 0 0 0 || 0 0 0 ||
c36ff21e f401fc80 || 0 1 1 || 0 1 1 ||
0e19bcfb 105a602c || 0 1 1 || 0 1 1 ||
10e9f930 e80db083 || 0 0 1 || 0 0 1 ||
94353f3e eade12a5 || 0 1 1 || 0 1 1 ||
8df31e48 f66ec5ed || 0 1 1 || 0 1 1 ||
c89def66 cfdcc1de || 0 1 1 || 0 1 1 ||
c4994056 3b7b7881 || 0 1 0 || 0 1 0 ||
50bbaa7f eee9a114 || 0 0 1 || 0 0 1 ||
4fb90817 4e9f96e6 || 0 0 0 || 0 0 0 ||
c560a1b5 8700a110 || 0 0 0 || 0 0 0 ||
5ee00468 507e81c2 || 0 0 0 || 0 0 0 ||
49da38df da97cfe2 || 0 0 1 || 0 0 1 ||
324fa502 d12440d4 || 0 0 1 || 0 0 1 ||
ae4e4753 b7887168 || 0 1 1 || 0 1 1 ||
398bc3e0 67830c68 || 0 1 1 || 0 1 1 ||
107e5db2 e6eb5a0e || 0 0 1 || 0 0 1 ||
65420db7 bf005edd || 0 0 1 || 0 0 1 ||
c35e65cf 731bb182 || 0 1 0 || 0 1 0 ||
31489321 473454ae || 0 1 1 || 0 1 1 ||
1151bcfa 460b77b2 || 0 1 1 || 0 1 1 ||
faf87c58 b328b9e6 || 0 0 0 || 0 0 0 ||
2c935cb6 98e5046b || 0 0 1 || 0 0 1 ||
2e29133c 016956b6 || 0 0 0 || 0 0 0 ||
4e731068 9e1cfd68 || 0 0 1 || 0 0 1 ||
79d37511 692e6b15 || 0 0 0 || 0 0 0 ||
a30d6f44 f162dc7b || 0 1 1 || 0 1 1 ||
d4f9d1f4 da76ee2a || 0 1 1 || 0 1 1 ||
1be460a5 72943a47 || 0 1 1 || 0 1 1 ||
12169da2 a0bf881c || 0 0 1 || 0 0 1 ||
9e7b58f6 e72dbfd0 || 0 1 1 || 0 1 1 ||
7038e575 896c5970 || 0 0 1 || 0 0 1 ||
575ad9fc 3c2a2cf7 || 0 0 0 || 0 0 0 ||
8028da44 cb81d4fa || 0 1 1 || 0 1 1 ||
26d12699 b70aa221 || 0 0 1 || 0 0 1 ||
ed1223b0 915ec67d || 0 0 0 || 0 0 0 ||
347bfc4a 705a1852 || 0 1 1 || 0 1 1 ||
e3cd1489 7f5e0c5b || 0 1 0 || 0 1 0 ||
cb2d8aee d3619c4c || 0 1 1 || 0 1 1 ||
bb7595ec 279991fa || 0 1 0 || 0 1 0 ||
cee052e0 8fb6a319 || 0 0 0 || 0 0 0 ||
3043ff88 ba5e9dc4 || 0 0 1 || 0 0 1 ||
4319eac6 6246bdaf || 0 1 1 || 0 1 1 ||
5ac86933 7adb7e17 || 0 1 1 || 0 1 1 ||
7aafe63a 68399bc8 || 0 0 0 || 0 0 0 ||
322b275d 40a845ac || 0 1 1 || 0 1 1 ||
05a4d368 7b48a0ea || 0 1 1 || 0 1 1 ||
2a5dadec b4574fae || 0 0 1 || 0 0 1 ||
19537258 1bd27ea7 || 0 1 1 || 0 1 1 ||
5c72d199 2b91fbda || 0 0 0 || 0 0 0 ||
e505061c 339875e7 || 0 1 0 || 0 1 0 ||
02194978 874ead35 || 0 0 1 || 0 0 1 ||
686e4b2c d6d64582 || 0 0 1 || 0 0 1 ||
0a30d4d9 e237a4c3 || 0 0 1 || 0 0 1 ||
a9e7c7a1 10822f4b || 0 1 0 || 0 1 0 ||
2dec7fd7 b5db1487 || 0 0 1 || 0 0 1 ||
98991457 17f51c67 || 0 1 0 || 0 1 0 ||
1d1bad3f 4099b85d || 0 1 1 || 0 1 1 ||
6464f4fb 7fe894b0 || 0 1 1 || 0 1 1 ||
f02974c7 80cc7a42 || 0 0 0 || 0 0 0 ||
b1aaed9e c259ed88 || 0 1 1 || 0 1 1 ||
18af9c87 e3214533 || 0 0 1 || 0 0 1 ||
f5d2d98e 89fcf679 || 0 0 0 || 0 0 0 ||
6c92f71b 70b2e7e1 || 0 1 1 || 0 1 1 ||
6a0fc40d 03dd9426 || 0 0 0 || 0 0 0 ||
97547c99 9294b87f || 0 0 0 || 0 0 0 ||
7315b2b2 472d9cf5 || 0 0 0 || 0 0 0 ||
97227250 9ec9e1bd || 0 1 1 || 0 1 1 ||
f46e2df3 30910e08 || 0 1 0 || 0 1 0 ||
96657f3a ac9e7df2 || 0 1 1 || 0 1 1 ||
338a1889 e91a80b1 || 0 0 1 || 0 0 1 ||
6d8aad90 fc309d7c || 0 0 1 || 0 0 1 ||
554875c1 3df50fe2 || 0 0 0 || 0 0 0 ||
ee1629a7 e69c3b90 || 0 0 0 || 0 0 0 ||
cdc56394 c053b247 || 0 0 0 || 0 0 0 ||
2eb08932 244e921f || 0 0 0 || 0 0 0 ||
d05d0d41 095b0a16 || 0 1 0 || 0 1 0 ||
4a4d4e86 ffac7715 || 0 0 1 || 0 0 1 ||
1fc2c616 66ccf085 || 0 1 1 || 0 1 1 ||
74b79676 1b2f61d8 || 0 0 0 || 0 0 0 ||
3e1c0da6 5f0d2142 || 0 1 1 || 0 1 1 ||
5dc0b63a a05562d7 || 0 0 1 || 0 0 1 ||
26915a31 8429ff08 || 0 0 1 || 0 0 1 ||
a84cf109 f78f32b2 || 0 1 1 || 0 1 1 ||
362577f2 0c87fa8a || 0 0 0 || 0 0 0 ||
713a0463 abd2b0ea || 0 0 1 || 0 0 1 ||
e618b275 90c8fb4f || 0 0 0 || 0 0 0 ||
fa340461 62548774 || 0 1 0 || 0 1 0 ||
153bca22 72dfd3f1 || 0 1 1 || 0 1 1 ||
532cf98a d87216a9 || 0 0 1 || 0 0 1 ||
2cc44cd7 f578e6e2 || 0 0 1 || 0 0 1 ||
bb10874a ad719116 || 0 0 0 || 0 0 0 ||
1bd6e80e 6d022c0c || 0 1 1 || 0 1 1 ||
a91d3a5d 9c994756 || 0 0 0 || 0 0 0 ||
b48bc338 89a73c1e || 0 0 0 || 0 0 0 ||
bab5b557 2c7e0020 || 0 1 0 || 0 1 0 ||
b95a8df9 b341db6a || 0 0 0 || 0 0 0 ||
86a2b6a1 33b570d5 || 0 1 0 || 0 1 0 ||
88fe0219 ad37bfc9 || 0 1 1 || 0 1 1 ||
fdbf6725 faf6508a || 0 0 0 || 0 0 0 ||
2718117c e151b2a6 || 0 0 1 || 0 0 1 ||
a08b5fa2 950e284d || 0 0 0 || 0 0 0 ||
2ef5230f a37069fa || 0 0 1 || 0 0 1 ||
8f0edd25 00b5d804 || 0 1 0 || 0 1 0 ||
a8aa35ce 39dcd354 || 0 1 0 || 0 1 0 ||
548a0e86 d5268232 || 0 0 1 || 0 0 1 ||
6bbd2282 e15e3e0d || 0 0 1 || 0 0 1 ||
d29c4bde 66c9ac13 || 0 1 0 || 0 1 0 ||
04fa50ca ab22cd39 || 0 0 1 || 0 0 1 ||
9f8b5986 c2bd6288 || 0 1 1 || 0 1 1 ||
23c39e7f a1d14580 || 0 0 1 || 0 0 1 ||
43aa52b5 edef3d8d || 0 0 1 || 0 0 1 ||
2f60657e 8f2ffd4c || 0 0 1 || 0 0 1 ||
29fc616f 1c34e268 || 0 0 0 || 0 0 0 ||
f71475da e5879e30 || 0 0 0 || 0 0 0 ||
4c686f05 338d9cef || 0 0 0 || 0 0 0 ||
d4452adf ce8baf41 || 0 0 0 || 0 0 0 ||
854b6795 cedba6c6 || 0 1 1 || 0 1 1 ||
94294373 9d94313f || 0 1 1 || 0 1 1 ||
fe5e4223 839b6d7b || 0 0 0 || 0 0 0 ||
190756dc 7324ac9c || 0 1 1 || 0 1 1 ||
103144b2 a6e7377c || 0 0 1 || 0 0 1 ||
efd30f2a bf629eb3 || 0 0 0 || 0 0 0 ||
5990e4c5 a8bd497a || 0 0 1 || 0 0 1 ||
29a269cc 40db1931 || 0 1 1 || 0 1 1 ||
ea14e905 67af9ae2 || 0 1 0 || 0 1 0 ||
32b86b54 ed521373 || 0 0 1 || 0 0 1 ||
da8e715a eee77768 || 0 1 1 || 0 1 1 ||
56120b58 c0e8d5f2 || 0 0 1 || 0 0 1 ||
e10d6f54 26f8fb9a || 0 1 0 || 0 1 0 ||
6b8fbda2 a7d8a058 || 0 0 1 || 0 0 1 ||
7e20b49b 38c8f08f || 0 0 0 || 0 0 0 ||
26330e62 6a6e0a1d || 0 1 1 || 0 1 1 ||
45df58bd 17583e3d || 0 0 0 || 0 0 0 ||
989bb4bf 3dbaa17f || 0 1 0 || 0 1 0 ||
86ad9d92 456f55a2 || 0 1 0 || 0 1 0 ||
df5152cf a7b15014 || 0 0 0 || 0 0 0 ||
69cfca67 6065c5d3 || 0 0 0 || 0 0 0 ||
7a2e1722 7db70d68 || 0 1 1 || 0 1 1 ||
c82e335c b87e89ad || 0 0 0 || 0 0 0 ||
1a2a8182 73831a34 || 0 1 1 || 0 1 1 ||
ed1e3dc6 a0b419ad || 0 0 0 || 0 0 0 ||
1187dbb9 03b085d9 || 0 0 0 || 0 0 0 ||
8a1eae53 6985b646 || 0 1 0 || 0 1 0 ||
4a0c925d 4c1d74bd || 0 1 1 || 0 1 1 ||
260800ac 734a653e || 0 1 1 || 0 1 1 ||
8a75e420 68707314 || 0 1 0 || 0 1 0 ||
98b37160 790b31de || 0 1 0 || 0 1 0 ||
361a23f9 aab0e548 || 0 0 1 || 0 0 1 ||
b1227a0c 16493ea3 || 0 1 0 || 0 1 0 ||
5de656ed 3671a4f9 || 0 0 0 || 0 0 0 ||
1f3c4817 e31a6456 || 0 0 1 || 0 0 1 ||
8cb7d5d4 4630db2e || 0 1 0 || 0 1 0 ||
015e3eba 33d96453 || 0 1 1 || 0 1 1 ||
aaa6f2da 7517bc6d || 0 1 0 || 0 1 0 ||
918850b4 befb61a5 || 0 1 1 || 0 1 1 ||
1b02cba6 eb1f4954 || 0 0 1 || 0 0 1 ||
02630de1 78ac3c1f || 0 1 1 || 0 1 1 ||
0bdf22f0 c0d9ac9f || 0 0 1 || 0 0 1 ||
07d3ea1b 37ae0cb1 || 0 1 1 || 0 1 1 ||
814fa2a8 6506193b || 0 1 0 || 0 1 0 ||
