94c8 9511 || 0 1 1 || 0 1 1 ||
f4cf 2642 || 0 1 0 || 0 1 0 ||
0ff0 1d91 || 0 1 1 || 0 1 1 ||
f23a 627b || 0 1 0 || 0 1 0 ||
8f9b 0928 || 0 1 0 || 0 1 0 ||
4e33 f1e3 || 0 0 1 || 0 0 1 ||
f1c0 3e1b || 0 1 0 || 0 1 0 ||
7d96 2b71 || 0 0 0 || 0 0 0 ||
8a89 615c || 0 1 0 || 0 1 0 ||
4d5b 7714 || 0 1 1 || 0 1 1 ||
43db c035 || 0 0 1 || 0 0 1 ||
50ff 8e67 || 0 0 1 || 0 0 1 ||
c8f1 9413 || 0 0 0 || 0 0 0 ||
9bf3 ee63 || 0 1 1 || 0 1 1 ||
2394 6fee || 0 1 1 || 0 1 1 ||
6cbd 46b7 || 0 0 0 || 0 0 0 ||
4c77 63d0 || 0 1 1 || 0 1 1 ||
bf8e 2b2a || 0 1 0 || 0 1 0 ||
890f 21e7 || 0 1 0 || 0 1 0 ||
2d65 bdaa || 0 0 1 || 0 0 1 ||
0ee8 1859 || 0 1 1 || 0 1 1 ||
7499 7f31 || 0 1 1 || 0 1 1 ||
520c 2513 || 0 0 0 || 0 0 0 ||
c04d 9254 || 0 0 0 || 0 0 0 ||
6c0e b457 || 0 0 1 || 0 0 1 ||
c657 26fa || 0 1 0 || 0 1 0 ||
10b5 a2c8 || 0 0 1 || 0 0 1 ||
6abe 5a71 || 0 0 0 || 0 0 0 ||
2609 b24c || 0 0 1 || 0 0 1 ||
62e6 fca0 || 0 0 1 || 0 0 1 ||
4237 6f79 || 0 1 1 || 0 1 1 ||
c399 271c || 0 1 0 || 0 1 0 ||
ce39 fc89 || 0 1 1 || 0 1 1 ||
7556 b6c9 || 0 0 1 || 0 0 1 ||
29fe 850b || 0 0 1 || 0 0 1 ||
2338 1ccf || 0 0 0 || 0 0 0 ||
bce7 6e56 || 0 1 0 || 0 1 0 ||
0c9f d62b || 0 0 1 || 0 0 1 ||
a194 89fb || 0 0 0 || 0 0 0 ||
1733 74fe || 0 1 1 || 0 1 1 ||
6c4a f445 || 0 0 1 || 0 0 1 ||
1b85 6aa2 || 0 1 1 || 0 1 1 ||
3b67 6c07 || 0 1 1 || 0 1 1 ||
7be9 fbe4 || 0 0 1 || 0 0 1 ||
e9a7 623b || 0 1 0 || 0 1 0 ||
a5d5 22a0 || 0 1 0 || 0 1 0 ||
1c0e 0738 || 0 0 0 || 0 0 0 ||
2375 91c5 || 0 0 1 || 0 0 1 ||
2827 ecfc || 0 0 1 || 0 0 1 ||
2e7f cf38 || 0 0 1 || 0 0 1 ||
4fec b4d1 || 0 0 1 || 0 0 1 ||
62c3 fd7e || 0 0 1 || 0 0 1 ||
6ba4 b82c || 0 0 1 || 0 0 1 ||
fb6e 26aa || 0 1 0 || 0 1 0 ||
5ea5 d4b0 || 0 0 1 || 0 0 1 ||
ade5 7604 || 0 1 0 || 0 1 0 ||
bc22 0601 || 0 1 0 || 0 1 0 ||
3783 e95e || 0 0 1 || 0 0 1 ||
22cc 1c77 || 0 0 0 || 0 0 0 ||
eda1 ac26 || 0 0 0 || 0 0 0 ||
2ce6 d5e1 || 0 0 1 || 0 0 1 ||
ca33 e5d6 || 0 1 1 || 0 1 1 ||
e2c2 5bfa || 0 1 0 || 0 1 0 ||
9629 f374 || 0 1 1 || 0 1 1 ||
5944 5300 || 0 0 0 || 0 0 0 ||
e5b7 e189 || 0 0 0 || 0 0 0 ||
d493 a962 || 0 0 0 || 0 0 0 ||
651c a8f6 || 0 0 1 || 0 0 1 ||
4969 68d4 || 0 1 1 || 0 1 1 ||
b570 e6d4 || 0 1 1 || 0 1 1 ||
7eb2 4011 || 0 0 0 || 0 0 0 ||
b963 7d5b || 0 1 0 || 0 1 0 ||
b3a5 d1c6 || 0 1 1 || 0 1 1 ||
bc86 b2cf || 0 0 0 || 0 0 0 ||
1f6d 4c11 || 0 1 1 || 0 1 1 ||
8eba 6f27 || 0 1 0 || 0 1 0 ||
f8af d9e5 || 0 0 0 || 0 0 0 ||
9780 c1d9 || 0 1 1 || 0 1 1 ||
2509 f828 || 0 0 1 || 0 0 1 ||
87ab 8419 || 0 0 0 || 0 0 0 ||
f21e 392a || 0 1 0 || 0 1 0 ||
eb20 56b4 || 0 1 0 || 0 1 0 ||
ac83 5a60 || 0 1 0 || 0 1 0 ||
e4c1 a8fb || 0 0 0 || 0 0 0 ||
345f 3423 || 0 0 0 || 0 0 0 ||
7a6e a9a0 || 0 0 1 || 0 0 1 ||
fb08 a7ee || 0 0 0 || 0 0 0 ||
86cf c47f || 0 1 1 || 0 1 1 ||
b354 302c || 0 1 0 || 0 1 0 ||
d683 e347 || 0 1 1 || 0 1 1 ||
efcd ef75 || 0 0 0 || 0 0 0 ||
39be 4f96 || 0 1 1 || 0 1 1 ||
c74e 22b1 || 0 1 0 || 0 1 0 ||
9488 4187 || 0 1 0 || 0 1 0 ||
66e8 7332 || 0 1 1 || 0 1 1 ||
71a9 1307 || 0 0 0 || 0 0 0 ||
29b8 0674 || 0 0 0 || 0 0 0 ||
c54b c4eb || 0 0 0 || 0 0 0 ||
5e56 146c || 0 0 0 || 0 0 0 ||
7f79 7299 || 0 0 0 || 0 0 0 ||
9099 2585 || 0 1 0 || 0 1 0 ||
4ad4 f952 || 0 0 1 || 0 0 1 ||
7688 2ccf || 0 0 0 || 0 0 0 ||
4115 8baa || 0 0 1 || 0 0 1 ||
cfdb 5691 || 0 1 0 || 0 1 0 ||
8ab7 55e2 || 0 1 0 || 0 1 0 ||
0ea8 e86e || 0 0 1 || 0 0 1 ||
ea4a 9ff0 || 0 0 0 || 0 0 0 ||
4622 912a || 0 0 1 || 0 0 1 ||
7fb4 d27c || 0 0 1 || 0 0 1 ||
549e 2fc7 || 0 0 0 || 0 0 0 ||
677a 8a1b || 0 0 1 || 0 0 1 ||
ac37 1dea || 0 1 0 || 0 1 0 ||
bde3 7713 || 0 1 0 || 0 1 0 ||
4244 7d0a || 0 1 1 || 0 1 1 ||
84ca bfe7 || 0 1 1 || 0 1 1 ||
f45d 62b0 || 0 1 0 || 0 1 0 ||
27b3 a0af || 0 0 1 || 0 0 1 ||
2c60 661f || 0 1 1 || 0 1 1 ||
ce20 4992 || 0 1 0 || 0 1 0 ||
f4f5 4412 || 0 1 0 || 0 1 0 ||
b276 c769 || 0 1 1 || 0 1 1 ||
cf41 32f0 || 0 1 0 || 0 1 0 ||
3997 0598 || 0 0 0 || 0 0 0 ||
dddf cd29 || 0 0 0 || 0 0 0 ||
e07e 1563 || 0 1 0 || 0 1 0 ||
96ce dd7f || 0 1 1 || 0 1 1 ||
7519 70ce || 0 0 0 || 0 0 0 ||
8b8f 66a6 || 0 1 0 || 0 1 0 ||
cc57 f3af || 0 1 1 || 0 1 1 ||
8c44 d4ac || 0 1 1 || 0 1 1 ||
2c51 935e || 0 0 1 || 0 0 1 ||
b47a d333 || 0 1 1 || 0 1 1 ||
2706 67e8 || 0 1 1 || 0 1 1 ||
bddb 3f1f || 0 1 0 || 0 1 0 ||
a2dd 8f49 || 0 0 0 || 0 0 0 ||
1c4c 1866 || 0 0 0 || 0 0 0 ||
ce15 3d4c || 0 1 0 || 0 1 0 ||
7b34 257d || 0 0 0 || 0 0 0 ||
fdb5 7cac || 0 1 0 || 0 1 0 ||
c487 2005 || 0 1 0 || 0 1 0 ||
3290 5471 || 0 1 1 || 0 1 1 ||
a63b cda2 || 0 1 1 || 0 1 1 ||
1e28 8c4e || 0 0 1 || 0 0 1 ||
6fd3 de61 || 0 0 1 || 0 0 1 ||
b5d5 5467 || 0 1 0 || 0 1 0 ||
2467 b5f7 || 0 0 1 || 0 0 1 ||
7498 5acf || 0 0 0 || 0 0 0 ||
9ed8 7718 || 0 1 0 || 0 1 0 ||
7d3b d425 || 0 0 1 || 0 0 1 ||
eafb f416 || 0 1 1 || 0 1 1 ||
70c0 f095 || 0 0 1 || 0 0 1 ||
0cf6 ee46 || 0 0 1 || 0 0 1 ||
2a6b 3554 || 0 1 1 || 0 1 1 ||
587a 543e || 0 0 0 || 0 0 0 ||
3e44 bfe4 || 0 0 1 || 0 0 1 ||
c252 1c97 || 0 1 0 || 0 1 0 ||
cd26 d287 || 0 1 1 || 0 1 1 ||
db22 e465 || 0 1 1 || 0 1 1 ||
14f9 158c || 0 1 1 || 0 1 1 ||
9856 cfa1 || 0 1 1 || 0 1 1 ||
74b1 3aa9 || 0 0 0 || 0 0 0 ||
9d30 db04 || 0 1 1 || 0 1 1 ||
19cc 4026 || 0 1 1 || 0 1 1 ||
e5f5 43b6 || 0 1 0 || 0 1 0 ||
f033 9a2c || 0 0 0 || 0 0 0 ||
f716 1272 || 0 1 0 || 0 1 0 ||
b21e f8f0 || 0 1 1 || 0 1 1 ||
33e9 328d || 0 0 0 || 0 0 0 ||
18b1 95ba || 0 0 1 || 0 0 1 ||
cc0f 9d2c || 0 0 0 || 0 0 0 ||
1413 2324 || 0 1 1 || 0 1 1 ||
57f1 6300 || 0 1 1 || 0 1 1 ||
954f 9571 || 0 1 1 || 0 1 1 ||
0eec c0e0 || 0 0 1 || 0 0 1 ||
0325 0167 || 0 0 0 || 0 0 0 ||
cbcc cbc6 || 0 0 0 || 0 0 0 ||
5b8a 19a8 || 0 0 0 || 0 0 0 ||
6975 9557 || 0 0 1 || 0 0 1 ||
68e0 88da || 0 0 1 || 0 0 1 ||
a67c b62c || 0 1 1 || 0 1 1 ||
3524 7c08 || 0 1 1 || 0 1 1 ||
9d37 d029 || 0 1 1 || 0 1 1 ||
a1c3 f816 || 0 1 1 || 0 1 1 ||
cdbf 939e || 0 0 0 || 0 0 0 ||
1a5b 53fe || 0 1 1 || 0 1 1 ||
ceb8 9f56 || 0 0 0 || 0 0 0 ||
4eb7 a018 || 0 0 1 || 0 0 1 ||
abd4 45be || 0 1 0 || 0 1 0 ||
01d3 e5da || 0 0 1 || 0 0 1 ||
6967 112a || 0 0 0 || 0 0 0 ||
ca7f 6712 || 0 1 0 || 0 1 0 ||
5761 b3b6 || 0 0 1 || 0 0 1 ||
ab01 37e6 || 0 1 0 || 0 1 0 ||
f7df b5f9 || 0 0 0 || 0 0 0 ||
50be 9c00 || 0 0 1 || 0 0 1 ||
b317 615b || 0 1 0 || 0 1 0 ||
830e 284f || 0 1 0 || 0 1 0 ||
f445 5c39 || 0 1 0 || 0 1 0 ||
c668 6741 || 0 1 0 || 0 1 0 ||
a207 bc98 || 0 1 1 || 0 1 1 ||
b0fa abee || 0 0 0 || 0 0 0 ||
4b12 e80d || 0 0 1 || 0 0 1 ||
65cd 8cd7 || 0 0 1 || 0 0 1 ||
8381 f9a3 || 0 1 1 || 0 1 1 ||
5e02 2484 || 0 0 0 || 0 0 0 ||
6de5 d7f4 || 0 0 1 || 0 0 1 ||
717a a3ef || 0 0 1 || 0 0 1 ||
e88a d6ad || 0 0 0 || 0 0 0 ||
c111 8c37 || 0 0 0 || 0 0 0 ||
1fd3 ef44 || 0 0 1 || 0 0 1 ||
e734 4521 || 0 1 0 || 0 1 0 ||
f774 d713 || 0 0 0 || 0 0 0 ||
af92 5b0a || 0 1 0 || 0 1 0 ||
e95f 1bc3 || 0 1 0 || 0 1 0 ||
1895 74d8 || 0 1 1 || 0 1 1 ||
a0e4 c148 || 0 1 1 || 0 1 1 ||
a34d 3352 || 0 1 0 || 0 1 0 ||
7e20 6cd3 || 0 0 0 || 0 0 0 ||
4756 8dcf || 0 0 1 || 0 0 1 ||
90af 6744 || 0 1 0 || 0 1 0 ||
877e 2c4e || 0 1 0 || 0 1 0 ||
aba0 cdbe || 0 1 1 || 0 1 1 ||
3c48 892d || 0 0 1 || 0 0 1 ||
84d7 9235 || 0 1 1 || 0 1 1 ||
513b ed0d || 0 0 1 || 0 0 1 ||
ca15 66b5 || 0 1 0 || 0 1 0 ||
3e35 176b || 0 0 0 || 0 0 0 ||
fdd2 9d42 || 0 0 0 || 0 0 0 ||
3f43 46b0 || 0 1 1 || 0 1 1 ||
1798 e3cc || 0 0 1 || 0 0 1 ||
d3cb 608c || 0 1 0 || 0 1 0 ||
29d1 8fb0 || 0 0 1 || 0 0 1 ||
f6c4 139d || 0 1 0 || 0 1 0 ||
707c b084 || 0 0 1 || 0 0 1 ||
e487 0bfa || 0 1 0 || 0 1 0 ||
79b4 04bb || 0 0 0 || 0 0 0 ||
ce45 a82b || 0 0 0 || 0 0 0 ||
dce8 648d || 0 1 0 || 0 1 0 ||
88bb c1f3 || 0 1 1 || 0 1 1 ||
f705 5acc || 0 1 0 || 0 1 0 ||
6466 4a94 || 0 0 0 || 0 0 0 ||
f8ab 2e13 || 0 1 0 || 0 1 0 ||
d42c 39f1 || 0 1 0 || 0 1 0 ||
4bf0 3416 || 0 0 0 || 0 0 0 ||
50ef 4b6d || 0 0 0 || 0 0 0 ||
8b96 8366 || 0 0 0 || 0 0 0 ||
9f9c abbe || 0 1 1 || 0 1 1 ||
f294 8e3e || 0 0 0 || 0 0 0 ||
79b3 5594 || 0 0 0 || 0 0 0 ||
1750 eade || 0 0 1 || 0 0 1 ||
7abe 006a || 0 0 0 || 0 0 0 ||
e945 17db || 0 1 0 || 0 1 0 ||
2182 fe49 || 0 0 1 || 0 0 1 ||
2366 973d || 0 0 1 || 0 0 1 ||
3d69 0fc5 || 0 0 0 || 0 0 0 ||
dc0c 2122 || 0 1 0 || 0 1 0 ||
1012 d924 || 0 0 1 || 0 0 1 ||
bb8e 511c || 0 1 0 || 0 1 0 ||
1b8d c845 || 0 0 1 || 0 0 1 ||
76b9 972c || 0 0 1 || 0 0 1 ||
05c5 a178 || 0 0 1 || 0 0 1 ||
c921 1584 || 0 1 0 || 0 1 0 ||
4c01 cc97 || 0 0 1 || 0 0 1 ||
2e9a 7e89 || 0 1 1 || 0 1 1 ||
2b76 0e04 || 0 0 0 || 0 0 0 ||
1988 04ac || 0 0 0 || 0 0 0 ||
68de 469f || 0 0 0 || 0 0 0 ||
0d43 c986 || 0 0 1 || 0 0 1 ||
85e3 efb0 || 0 1 1 || 0 1 1 ||
b46f c3cc || 0 1 1 || 0 1 1 ||
030c 7d10 || 0 1 1 || 0 1 1 ||
da28 a2da || 0 0 0 || 0 0 0 ||
b999 d9d4 || 0 1 1 || 0 1 1 ||
989c d079 || 0 1 1 || 0 1 1 ||
f600 ff3e || 0 1 1 || 0 1 1 ||
d079 af82 || 0 0 0 || 0 0 0 ||
6bf3 2f59 || 0 0 0 || 0 0 0 ||
2935 bc52 || 0 0 1 || 0 0 1 ||
51f3 c51c || 0 0 1 || 0 0 1 ||
bbc4 3242 || 0 1 0 || 0 1 0 ||
615f 0647 || 0 0 0 || 0 0 0 ||
03d5 8392 || 0 0 1 || 0 0 1 ||
5880 64b3 || 0 1 1 || 0 1 1 ||
f6fd bba5 || 0 0 0 || 0 0 0 ||
ab27 efa2 || 0 1 1 || 0 1 1 ||
2532 a0a8 || 0 0 1 || 0 0 1 ||
1c6c a9c5 || 0 0 1 || 0 0 1 ||
70dc 26d7 || 0 0 0 || 0 0 0 ||
b720 7de4 || 0 1 0 || 0 1 0 ||
8404 5c71 || 0 1 0 || 0 1 0 ||
1adc 1765 || 0 0 0 || 0 0 0 ||
9b9d c674 || 0 1 1 || 0 1 1 ||
f225 412b || 0 1 0 || 0 1 0 ||
7718 a7b2 || 0 0 1 || 0 0 1 ||
ca9f 2a62 || 0 1 0 || 0 1 0 ||
3821 ac51 || 0 0 1 || 0 0 1 ||
a257 3c7c || 0 1 0 || 0 1 0 ||
14a5 e2c6 || 0 0 1 || 0 0 1 ||
f05a f8f8 || 0 1 1 || 0 1 1 ||
a57d 2c61 || 0 1 0 || 0 1 0 ||
9e6a fe58 || 0 1 1 || 0 1 1 ||
4ab4 eefa || 0 0 1 || 0 0 1 ||
e24c 54ce || 0 1 0 || 0 1 0 ||
ea77 1570 || 0 1 0 || 0 1 0 ||
6ea5 5d9e || 0 0 0 || 0 0 0 ||
7cfc f21d || 0 0 1 || 0 0 1 ||
61a9 eae8 || 0 0 1 || 0 0 1 ||
feb7 3751 || 0 1 0 || 0 1 0 ||
aef3 6436 || 0 1 0 || 0 1 0 ||
390f f256 || 0 0 1 || 0 0 1 ||
41f7 1eae || 0 0 0 || 0 0 0 ||
d5aa 58d4 || 0 1 0 || 0 1 0 ||
38c8 82bf || 0 0 1 || 0 0 1 ||
b172 1b0b || 0 1 0 || 0 1 0 ||
19df 300a || 0 1 1 || 0 1 1 ||
5313 4fd4 || 0 0 0 || 0 0 0 ||
5670 c1f2 || 0 0 1 || 0 0 1 ||
0e22 1703 || 0 1 1 || 0 1 1 ||
34ca c032 || 0 0 1 || 0 0 1 ||
71ad d950 || 0 0 1 || 0 0 1 ||
113b 4823 || 0 1 1 || 0 1 1 ||
3b99 95dc || 0 0 1 || 0 0 1 ||
9c08 d667 || 0 1 1 || 0 1 1 ||
40ee 9eef || 0 0 1 || 0 0 1 ||
2828 0535 || 0 0 0 || 0 0 0 ||
cb11 354a || 0 1 0 || 0 1 0 ||
1038 d187 || 0 0 1 || 0 0 1 ||
2670 9049 || 0 0 1 || 0 0 1 ||
4ebc 8667 || 0 0 1 || 0 0 1 ||
acb5 7bdc || 0 1 0 || 0 1 0 ||
ade5 6d50 || 0 1 0 || 0 1 0 ||
e1fe b514 || 0 0 0 || 0 0 0 ||
9a3b c46d || 0 1 1 || 0 1 1 ||
d844 78de || 0 1 0 || 0 1 0 ||
3b72 1205 || 0 0 0 || 0 0 0 ||
bb4f 3b9d || 0 1 0 || 0 1 0 ||
6106 99cd || 0 0 1 || 0 0 1 ||
36b5 e7af || 0 0 1 || 0 0 1 ||
c118 133d || 0 1 0 || 0 1 0 ||
78d9 3b73 || 0 0 0 || 0 0 0 ||
0c7e a02a || 0 0 1 || 0 0 1 ||
02ea 4b7a || 0 1 1 || 0 1 1 ||
8df7 ba66 || 0 1 1 || 0 1 1 ||
9169 f6a6 || 0 1 1 || 0 1 1 ||
5776 5c57 || 0 1 1 || 0 1 1 ||
9302 87d8 || 0 0 0 || 0 0 0 ||
925e f89f || 0 1 1 || 0 1 1 ||
85a5 feff || 0 1 1 || 0 1 1 ||
4b13 cc1a || 0 0 1 || 0 0 1 ||
a142 6a3d || 0 1 0 || 0 1 0 ||
35e7 5837 || 0 1 1 || 0 1 1 ||
25cb dca0 || 0 0 1 || 0 0 1 ||
6c81 6702 || 0 0 0 || 0 0 0 ||
6c67 3ae9 || 0 0 0 || 0 0 0 ||
32f9 c292 || 0 0 1 || 0 0 1 ||
6e93 e2af || 0 0 1 || 0 0 1 ||
07fa f886 || 0 0 1 || 0 0 1 ||
b05b 6288 || 0 1 0 || 0 1 0 ||
4a76 d43d || 0 0 1 || 0 0 1 ||
20ea 4b3f || 0 1 1 || 0 1 1 ||
27a8 1225 || 0 0 0 || 0 0 0 ||
8706 8d35 || 0 1 1 || 0 1 1 ||
0945 07f6 || 0 0 0 || 0 0 0 ||
3181 52ba || 0 1 1 || 0 1 1 ||
dcac 8743 || 0 0 0 || 0 0 0 ||
d072 4d67 || 0 1 0 || 0 1 0 ||
7fa1 bb4e || 0 0 1 || 0 0 1 ||
90db 211a || 0 1 0 || 0 1 0 ||
91c7 84e9 || 0 0 0 || 0 0 0 ||
27e0 7995 || 0 1 1 || 0 1 1 ||
503d ff1c || 0 0 1 || 0 0 1 ||
3deb d098 || 0 0 1 || 0 0 1 ||
1ca7 cd3c || 0 0 1 || 0 0 1 ||
a57d e86c || 0 1 1 || 0 1 1 ||
5ce5 d991 || 0 0 1 || 0 0 1 ||
72cd 35dd || 0 0 0 || 0 0 0 ||
9ac0 9417 || 0 0 0 || 0 0 0 ||
ffc3 67d1 || 0 1 0 || 0 1 0 ||
aa9a f900 || 0 1 1 || 0 1 1 ||
359c cf33 || 0 0 1 || 0 0 1 ||
c780 6977 || 0 1 0 || 0 1 0 ||
decb f927 || 0 1 1 || 0 1 1 ||
105a 5aa8 || 0 1 1 || 0 1 1 ||
7733 003f || 0 0 0 || 0 0 0 ||
a829 a28f || 0 0 0 || 0 0 0 ||
89ab 844b || 0 0 0 || 0 0 0 ||
9667 bf0d || 0 1 1 || 0 1 1 ||
0d23 f31c || 0 0 1 || 0 0 1 ||
be4d bd8c || 0 0 0 || 0 0 0 ||
00a5 6ac3 || 0 1 1 || 0 1 1 ||
72ca bdac || 0 0 1 || 0 0 1 ||
9098 8b34 || 0 0 0 || 0 0 0 ||
e2ee 62fe || 0 1 0 || 0 1 0 ||
58b2 ffe2 || 0 0 1 || 0 0 1 ||
90f2 55a8 || 0 1 0 || 0 1 0 ||
2350 2bb3 || 0 1 1 || 0 1 1 ||
261f 2046 || 0 0 0 || 0 0 0 ||
3551 7e7f || 0 1 1 || 0 1 1 ||
c4b3 1b6e || 0 1 0 || 0 1 0 ||
8921 7d94 || 0 1 0 || 0 1 0 ||
b5b2 7c4f || 0 1 0 || 0 1 0 ||
bdf0 71eb || 0 1 0 || 0 1 0 ||
f7b9 4ba3 || 0 1 0 || 0 1 0 ||
11c8 2427 || 0 1 1 || 0 1 1 ||
9413 d46d || 0 1 1 || 0 1 1 ||
eef8 1def || 0 1 0 || 0 1 0 ||
2aa1 fd3b || 0 0 1 || 0 0 1 ||
5f49 218d || 0 0 0 || 0 0 0 ||
5134 d751 || 0 0 1 || 0 0 1 ||
6e04 2572 || 0 0 0 || 0 0 0 ||
601c e017 || 0 0 1 || 0 0 1 ||
3834 b719 || 0 0 1 || 0 0 1 ||
e0a3 5240 || 0 1 0 || 0 1 0 ||
6698 26af || 0 0 0 || 0 0 0 ||
9091 8acc || 0 0 0 || 0 0 0 ||
73b4 ab7a || 0 0 1 || 0 0 1 ||
dc88 47fe || 0 1 0 || 0 1 0 ||
148a eac1 || 0 0 1 || 0 0 1 ||
5c6b aedd || 0 0 1 || 0 0 1 ||
786d e3c3 || 0 0 1 || 0 0 1 ||
0a86 982a || 0 0 1 || 0 0 1 ||
047a a9ec || 0 0 1 || 0 0 1 ||
8a4c 6e5b || 0 1 0 || 0 1 0 ||
4e1d 4ab1 || 0 0 0 || 0 0 0 ||
4aa7 7d0a || 0 1 1 || 0 1 1 ||
b3ae b2e2 || 0 0 0 || 0 0 0 ||
41e4 88d2 || 0 0 1 || 0 0 1 ||
1ce4 2292 || 0 1 1 || 0 1 1 ||
0fe5 ea69 || 0 0 1 || 0 0 1 ||
2b6e 8c9b || 0 0 1 || 0 0 1 ||
23c2 f07e || 0 0 1 || 0 0 1 ||
a07a e847 || 0 1 1 || 0 1 1 ||
220a a172 || 0 0 1 || 0 0 1 ||
fef1 66d1 || 0 1 0 || 0 1 0 ||
c1c7 4936 || 0 1 0 || 0 1 0 ||
1ec0 788e || 0 1 1 || 0 1 1 ||
2f95 23a8 || 0 0 0 || 0 0 0 ||
0e11 4ffd || 0 1 1 || 0 1 1 ||
4666 20d7 || 0 0 0 || 0 0 0 ||
50cf 410f || 0 0 0 || 0 0 0 ||
2293 fb79 || 0 0 1 || 0 0 1 ||
b81a 2c95 || 0 1 0 || 0 1 0 ||
c5e9 02b3 || 0 1 0 || 0 1 0 ||
f49b 9c3b || 0 0 0 || 0 0 0 ||
2644 dba0 || 0 0 1 || 0 0 1 ||
cc63 dd62 || 0 1 1 || 0 1 1 ||
7448 85e3 || 0 0 1 || 0 0 1 ||
7ffc c1a2 || 0 0 1 || 0 0 1 ||
7ddc 3c29 || 0 0 0 || 0 0 0 ||
f6f8 8596 || 0 0 0 || 0 0 0 ||
2ba9 c632 || 0 0 1 || 0 0 1 ||
f330 9efb || 0 0 0 || 0 0 0 ||
2708 ef3f || 0 0 1 || 0 0 1 ||
b480 faca || 0 1 1 || 0 1 1 ||
90e5 b3ad || 0 1 1 || 0 1 1 ||
3c81 86ca || 0 0 1 || 0 0 1 ||
aab9 8a27 || 0 0 0 || 0 0 0 ||
11a4 ea23 || 0 0 1 || 0 0 1 ||
d7f9 5cc2 || 0 1 0 || 0 1 0 ||
5827 5dac || 0 1 1 || 0 1 1 ||
2745 1e05 || 0 0 0 || 0 0 0 ||
ef8c 6946 || 0 1 0 || 0 1 0 ||
920a 38b5 || 0 1 0 || 0 1 0 ||
12cf 239f || 0 1 1 || 0 1 1 ||
bd74 6f25 || 0 1 0 || 0 1 0 ||
8e87 41b1 || 0 1 0 || 0 1 0 ||
e943 9e35 || 0 0 0 || 0 0 0 ||
58f1 528a || 0 0 0 || 0 0 0 ||
e90b e5d8 || 0 0 0 || 0 0 0 ||
194a 9903 || 0 0 1 || 0 0 1 ||
9163 3e5c || 0 1 0 || 0 1 0 ||
ae43 c9f2 || 0 1 1 || 0 1 1 ||
d8a5 cd3b || 0 0 0 || 0 0 0 ||
c5f4 f1f9 || 0 1 1 || 0 1 1 ||
37a5 59a5 || 0 1 1 || 0 1 1 ||
6e2d 3a2f || 0 0 0 || 0 0 0 ||
ec84 5824 || 0 1 0 || 0 1 0 ||
1589 909b || 0 0 1 || 0 0 1 ||
f5be 09a1 || 0 1 0 || 0 1 0 ||
ecf0 d09d || 0 0 0 || 0 0 0 ||
e6ea c6af || 0 0 0 || 0 0 0 ||
3097 0b98 || 0 0 0 || 0 0 0 ||
a266 c504 || 0 1 1 || 0 1 1 ||
d5ba 2c59 || 0 1 0 || 0 1 0 ||
1faf 00ad || 0 0 0 || 0 0 0 ||
a89c f3f3 || 0 1 1 || 0 1 1 ||
b8e6 e2ec || 0 1 1 || 0 1 1 ||
1806 bc22 || 0 0 1 || 0 0 1 ||
22f9 5c19 || 0 1 1 || 0 1 1 ||
1d1d 2a9d || 0 1 1 || 0 1 1 ||
7f31 5554 || 0 0 0 || 0 0 0 ||
11c3 a17f || 0 0 1 || 0 0 1 ||
cb75 5c58 || 0 1 0 || 0 1 0 ||
72b5 28f2 || 0 0 0 || 0 0 0 ||
48ac 479b || 0 0 0 || 0 0 0 ||
3c4f d000 || 0 0 1 || 0 0 1 ||
5cf4 ac26 || 0 0 1 || 0 0 1 ||
4f52 6049 || 0 1 1 || 0 1 1 ||
914e a3d7 || 0 1 1 || 0 1 1 ||
a7ae ae60 || 0 1 1 || 0 1 1 ||
1cd7 b011 || 0 0 1 || 0 0 1 ||
71a6 6d43 || 0 0 0 || 0 0 0 ||
e64a 724e || 0 1 0 || 0 1 0 ||
fc89 19b9 || 0 1 0 || 0 1 0 ||
6974 630e || 0 0 0 || 0 0 0 ||
6ba4 6128 || 0 0 0 || 0 0 0 ||
9bfc be5e || 0 1 1 || 0 1 1 ||
6847 9e1a || 0 0 1 || 0 0 1 ||
7d1d 1e18 || 0 0 0 || 0 0 0 ||
79aa 81d4 || 0 0 1 || 0 0 1 ||
82a6 58e0 || 0 1 0 || 0 1 0 ||
7f05 eb67 || 0 0 1 || 0 0 1 ||
7641 293b || 0 0 0 || 0 0 0 ||
bd7a a670 || 0 0 0 || 0 0 0 ||
c8a6 c6e2 || 0 0 0 || 0 0 0 ||
ddc4 5d33 || 0 1 0 || 0 1 0 ||
5cd5 a9d9 || 0 0 1 || 0 0 1 ||
7f9f 2f95 || 0 0 0 || 0 0 0 ||
5b51 7f12 || 0 1 1 || 0 1 1 ||
7f26 f347 || 0 0 1 || 0 0 1 ||
e105 3c68 || 0 1 0 || 0 1 0 ||
87d6 4162 || 0 1 0 || 0 1 0 ||
d125 1239 || 0 1 0 || 0 1 0 ||
2c8b 4437 || 0 1 1 || 0 1 1 ||
632e c68a || 0 0 1 || 0 0 1 ||
cbbb 5918 || 0 1 0 || 0 1 0 ||
2bfe c501 || 0 0 1 || 0 0 1 ||
45e4 bd14 || 0 0 1 || 0 0 1 ||
dafa 709b || 0 1 0 || 0 1 0 ||
e472 6afa || 0 1 0 || 0 1 0 ||
bfdc dbd2 || 0 1 1 || 0 1 1 ||
