a836f4911b9790a9 5abc70a24a81959b || 0 1 0 || 0 1 0 ||
365177f1a0e9f183 9925891d5e4d3c85 || 0 0 1 || 0 0 1 ||
fc6a90589d9838aa 70ad71b1920cc28f || 0 1 0 || 0 1 0 ||
c7fd826d9681cb84 eb3933f6cdaa48a7 || 0 1 1 || 0 1 1 ||
f0b84497c60eda6b d7729cf09c130385 || 0 0 0 || 0 0 0 ||
d1d72dca9812ca2d 3776afe862969d56 || 0 1 0 || 0 1 0 ||
6800bf23d573bf29 1978501f611ebf55 || 0 0 0 || 0 0 0 ||
ea694e843910cc89 05874ffc9fba9a9b || 0 1 0 || 0 1 0 ||
46598b2f74630d20 94294d1d82dc8e0e || 0 0 1 || 0 0 1 ||
fe509fb07fe88a14 edfa3a7a6a9927c6 || 0 0 0 || 0 0 0 ||
a0d41fe15f658670 36c28f3ec9612c89 || 0 1 0 || 0 1 0 ||
376ad5d94eb38bd3 b76740b28beaf53e || 0 0 1 || 0 0 1 ||
4bc6850e7a1e6333 ccd8162a12ffa310 || 0 0 1 || 0 0 1 ||
774738bd06d1e200 aa19e5c5363941a5 || 0 0 1 || 0 0 1 ||
480f19b963e938c1 0ebe41db38fd49ab || 0 0 0 || 0 0 0 ||
c5811011f7651377 64bf4d46839d01e2 || 0 1 0 || 0 1 0 ||
2e5f1070f7fd8772 5e728279ea5812f4 || 0 1 1 || 0 1 1 ||
4c40a6bb5b45cd6e 1e3394c7c903b6e3 || 0 0 0 || 0 0 0 ||
181e4593a38fedb9 07d75f42506e3de0 || 0 0 0 || 0 0 0 ||
9ad9948b031d8e49 59dc96e10fdead7b || 0 1 0 || 0 1 0 ||
cb802d384f09ed81 259100447e55d68f || 0 1 0 || 0 1 0 ||
40954dd3bf03b121 97475fe4fe0b7261 || 0 0 1 || 0 0 1 ||
da0c5030c538a487 c1c58500012c14c6 || 0 0 0 || 0 0 0 ||
f889ae9e99b8d655 73827752f02f01c4 || 0 1 0 || 0 1 0 ||
a0661ed73fe5649d ea113d8161b31b12 || 0 1 1 || 0 1 1 ||
91577511433cf4ea 946f5ce490c8abc7 || 0 1 1 || 0 1 1 ||
6d5f44add5cc1984 9825eeff9314a182 || 0 0 1 || 0 0 1 ||
ffbd9e89a4fd7a1b da82000b11c28904 || 0 0 0 || 0 0 0 ||
dd69e6e0d0846449 b792afa7fa738676 || 0 0 0 || 0 0 0 ||
260c836f5f1421ce 1cc3159fba53bbc7 || 0 0 0 || 0 0 0 ||
d7b54558d22ed3d8 0f37e7bb6627b827 || 0 1 0 || 0 1 0 ||
369c9204dbf5ed20 27a27affc8402eeb || 0 0 0 || 0 0 0 ||
5b7a701b7fb3104c 32b604ced2fe6795 || 0 0 0 || 0 0 0 ||
63b1e0a4893d242f f490174b70e92ca4 || 0 0 1 || 0 0 1 ||
0d3c6f1511bc829b b79f74673e38739d || 0 0 1 || 0 0 1 ||
f2d210f5af44e392 15efa76bf258f657 || 0 1 0 || 0 1 0 ||
a063046e35fdb097 f36811a263bb396b || 0 1 1 || 0 1 1 ||
641b91461002da3f 1ef1fcb7bad93ad8 || 0 0 0 || 0 0 0 ||
14c9d872e6e85e82 ccf9b1a92deb24e9 || 0 0 1 || 0 0 1 ||
c8c2786eae7801a7 ebc7f08657cb5eda || 0 1 1 || 0 1 1 ||
622c690328d3eec6 10db12fa2f2cab0f || 0 0 0 || 0 0 0 ||
ab7b5598ff8bdfea 0056f58346494477 || 0 1 0 || 0 1 0 ||
2b1a15360ed8fd04 4b60b6b575c316f8 || 0 1 1 || 0 1 1 ||
d2750c46bf25e486 440e057fa145af87 || 0 1 0 || 0 1 0 ||
494dc166192be388 9a106c08cb0d1f8c || 0 0 1 || 0 0 1 ||
78bb4276650f47d9 4e0b56a50d481974 || 0 0 0 || 0 0 0 ||
58910055c3e6d95e ddef80eda8358610 || 0 0 1 || 0 0 1 ||
09204a73a6e4aa64 6c62f930031399f3 || 0 1 1 || 0 1 1 ||
be67dc5d8a64006c 4338d72b89788475 || 0 1 0 || 0 1 0 ||
e629b43476f9e43a fed5aa22da0227a9 || 0 1 1 || 0 1 1 ||
1f77015750419e20 840852bf81d64362 || 0 0 1 || 0 0 1 ||
4fe2efa7e9274122 6494c444f290a824 || 0 1 1 || 0 1 1 ||
24ce0d0ee1472a5b 7c9c65329ee5fccf || 0 1 1 || 0 1 1 ||
dbee9a2b95bb6a7f 8199adfe7ab50c7b || 0 0 0 || 0 0 0 ||
815d4af51536beb0 f32fb152783919ec || 0 1 1 || 0 1 1 ||
2506cf0fb6054b2e 00221ff23ec174ee || 0 0 0 || 0 0 0 ||
33c4174ba5aba4b4 4a70a7d86e94ba7a || 0 1 1 || 0 1 1 ||
6f9cc5074939eef3 c109d51dbaf24190 || 0 0 1 || 0 0 1 ||
c56bf723bd338a0f 1112502c3db6206f || 0 1 0 || 0 1 0 ||
c18d5279307f5ac1 a2090e7e97bc4e1e || 0 0 0 || 0 0 0 ||
70293116cef3bfcc 4ea8488b893a0ce4 || 0 0 0 || 0 0 0 ||
ef7a877f46ed9fe6 1ccb8e00a88f0eb6 || 0 1 0 || 0 1 0 ||
100b20388c198bba 96bf4f297497a1fb || 0 0 1 || 0 0 1 ||
4dd9cd91a8d20116 beb455960a373fec || 0 0 1 || 0 0 1 ||
fa735a5ce83deb0c 966db7272ddcc395 || 0 0 0 || 0 0 0 ||
971487c512f53716 cb162a05f93866aa || 0 1 1 || 0 1 1 ||
bc612e0e69217022 5e731c2ba7a58120 || 0 1 0 || 0 1 0 ||
62d571f6e160ade9 a081baa89e6e4e3f || 0 0 1 || 0 0 1 ||
2023a065955364d6 6980f87edd4546f6 || 0 1 1 || 0 1 1 ||
cd36b23883239dd6 abd444c454d77032 || 0 0 0 || 0 0 0 ||
dcab0d8a257ad48a 43da82d4e98944cd || 0 1 0 || 0 1 0 ||
5758a9ef817ef275 fe3990cf7923b9b2 || 0 0 1 || 0 0 1 ||
1c9f719e70078e0a caf2b1f28f688c64 || 0 0 1 || 0 0 1 ||
deb8defe7e59749f 23926e34314195b1 || 0 1 0 || 0 1 0 ||
dc7cf816b27cb972 ff3dd04b96853612 || 0 1 1 || 0 1 1 ||
3711a5ae62df7a8a eed4ee1101c576d2 || 0 0 1 || 0 0 1 ||
37413d023b755586 9f73196db8ca7bd2 || 0 0 1 || 0 0 1 ||
d09bc26be9ac5f50 cf4c65524bc704b6 || 0 0 0 || 0 0 0 ||
690fc06144b962e9 902033b7d62a26eb || 0 0 1 || 0 0 1 ||
a04fabeaee4daf21 083ff3dffa38dd62 || 0 1 0 || 0 1 0 ||
200060b7608c2a85 a6756f260f91ffd7 || 0 0 1 || 0 0 1 ||
aa73862802c9bc1f b96cf04aa58359a4 || 0 1 1 || 0 1 1 ||
38cfe28ba1921757 2aeaf44354eaa926 || 0 0 0 || 0 0 0 ||
4fdeb41c6f4a5313 433118369e269e8f || 0 0 0 || 0 0 0 ||
5d16929b759afa64 9695162059de0fc9 || 0 0 1 || 0 0 1 ||
e3b4dd3740d9980f 8879e1090a7f5e27 || 0 0 0 || 0 0 0 ||
585ea235552e1207 77d0f585775d7a67 || 0 1 1 || 0 1 1 ||
0439fb3111ecc89e fef178379ee377e9 || 0 0 1 || 0 0 1 ||
f995852f66c55b79 47bb8dc7644fb607 || 0 1 0 || 0 1 0 ||
36fb7622ed0e7922 0e8d902e8520fec0 || 0 0 0 || 0 0 0 ||
d67d31d79757977a f0b50dd34c164c44 || 0 1 1 || 0 1 1 ||
07dca75d44fda883 7384379e7b147531 || 0 1 1 || 0 1 1 ||
8896729b816bd2b0 603680e4d7be0fdc || 0 1 0 || 0 1 0 ||
9c2d4a4e3258a32f eb3f53bebb07e9cf || 0 1 1 || 0 1 1 ||
d43db6be20a4d8f5 dec80041b16d6bdf || 0 1 1 || 0 1 1 ||
91da4976e1b0fb6b aa2fd43533027fca || 0 1 1 || 0 1 1 ||
96cfcb1278a19959 d1247827be46a158 || 0 1 1 || 0 1 1 ||
19a8f4c070f597b8 3deb0c8b509e5baf || 0 1 1 || 0 1 1 ||
32c413a846c3ec49 d004d2622a9749d6 || 0 0 1 || 0 0 1 ||
234c02fc1c288cc4 295dc5d78b1687c1 || 0 1 1 || 0 1 1 ||
247013c53a679a51 c29b0f63315c9ab3 || 0 0 1 || 0 0 1 ||
7fd4d9dd890266ce f1504379282f41a8 || 0 0 1 || 0 0 1 ||
c713f26b4ce74572 8f9608003d8ab08b || 0 0 0 || 0 0 0 ||
be5f2eefec937c40 c27ca8347b3776fd || 0 1 1 || 0 1 1 ||
d870d9bd6df7f3ec 1b15ffd35501e5e6 || 0 1 0 || 0 1 0 ||
570e9879bede70e0 6c96be56f58c03ce || 0 1 1 || 0 1 1 ||
863a1c9321c95ec7 80f193838ae2b89f || 0 0 0 || 0 0 0 ||
5b562e38d7fa4eeb 5bea3eb248a1003e || 0 1 1 || 0 1 1 ||
5fe6a31413186a9c 09944e69b8e935f2 || 0 0 0 || 0 0 0 ||
061e120a8c94b633 f60c672234c994b0 || 0 0 1 || 0 0 1 ||
56655037f1758ac4 a1462e568e36bfa2 || 0 0 1 || 0 0 1 ||
d15bcf57943252b0 fddf3cbdad74590f || 0 1 1 || 0 1 1 ||
7678963da483b4f8 724f37244697ccf8 || 0 0 0 || 0 0 0 ||
6ace356ac07f6263 50b198da5680227b || 0 0 0 || 0 0 0 ||
a62e07224dca0b31 37422370ae309c89 || 0 1 0 || 0 1 0 ||
8c8f21d3151e1427 ac539ef7cb0b1180 || 0 1 1 || 0 1 1 ||
1430c78d57016b07 d926f61cd3d6726b || 0 0 1 || 0 0 1 ||
f4333f0329a54343 8d95002a0c94f669 || 0 0 0 || 0 0 0 ||
1968a246e56b3c1e 9dfb521021d811fd || 0 0 1 || 0 0 1 ||
0f93e0c66a1fcc90 4803f344e22e0108 || 0 1 1 || 0 1 1 ||
0a98a9f7bfa59049 2d889086152d70b9 || 0 1 1 || 0 1 1 ||
91301979fda82bdc 290672df9d63b11e || 0 1 0 || 0 1 0 ||
e29098d9742e544d 6da9a094967ada3a || 0 1 0 || 0 1 0 ||
1d86e5dec403dc1e 7da97dfe2e5e5e7b || 0 1 1 || 0 1 1 ||
4d39c6168b9af49b d8320687fb818aca || 0 0 1 || 0 0 1 ||
36592859bf857ccd 8e9b117f01792c01 || 0 0 1 || 0 0 1 ||
5044cee3c6e3bfb5 e418c3f12e93e8c5 || 0 0 1 || 0 0 1 ||
371e219e4bf1f93c 35a6765fa2f901fd || 0 0 0 || 0 0 0 ||
18545e37c2eee2ed 5258ffe88839e195 || 0 1 1 || 0 1 1 ||
6f81dfb9ad521343 a7d72b2ac2c4a401 || 0 0 1 || 0 0 1 ||
7c5666e58e9f4ca2 18ffd816664c9205 || 0 0 0 || 0 0 0 ||
1f4c8872214d8549 622d1ae2c6160b14 || 0 1 1 || 0 1 1 ||
745336e7e60c3f86 b175a43d39e0d8f7 || 0 0 1 || 0 0 1 ||
bee46af37950bf0f c6ddbc651124e86e || 0 1 1 || 0 1 1 ||
af2c34efe40ad75d 4907daa0fea9d978 || 0 1 0 || 0 1 0 ||
ea250333fe500106 205cbcc4e29e3b39 || 0 1 0 || 0 1 0 ||
485baa94a6176316 c4c62c15059c6738 || 0 0 1 || 0 0 1 ||
71fed792df99437d 56e7aab38f22fd92 || 0 0 0 || 0 0 0 ||
673301424c82f996 5cbf7500b647e55c || 0 0 0 || 0 0 0 ||
ce8081d40c0e7465 56b01f5270175b3d || 0 1 0 || 0 1 0 ||
735a7716f09a0da1 3791236127c0fce8 || 0 0 0 || 0 0 0 ||
06e8fb354c3dd343 e1abe32d1f7fd03d || 0 0 1 || 0 0 1 ||
742a4cbbd088cb4f 2e830795863b5445 || 0 0 0 || 0 0 0 ||
6c5051ebd2f15f9d a06dd85a8e135b0a || 0 0 1 || 0 0 1 ||
e6a40eff9e1e1fff 3f9349d7c522d41a || 0 1 0 || 0 1 0 ||
44595ff1f02074e8 0b4785e4147a8186 || 0 0 0 || 0 0 0 ||
e4b70726227137f3 b04809491ebcd653 || 0 0 0 || 0 0 0 ||
c899a5d3561f4e73 c049535c3c8abaff || 0 0 0 || 0 0 0 ||
e96fdd543060a0fb 51e95d5b826cf935 || 0 1 0 || 0 1 0 ||
823349d5c0f8df2d 3d36828fdb9127b6 || 0 1 0 || 0 1 0 ||
da77154e1a0ce0d5 cd07a233a1bb4013 || 0 0 0 || 0 0 0 ||
bd880e09cb5e9aed e831b614ce184fd9 || 0 1 1 || 0 1 1 ||
c6e2b0a30c270721 bfe91660b0f6405b || 0 0 0 || 0 0 0 ||
30d74792c9798b61 a10961ad04709712 || 0 0 1 || 0 0 1 ||
2fbfca256bb4f2c6 3c2d21d9acfdcb6c || 0 1 1 || 0 1 1 ||
a2be0c31f9ea33ff c05dc8bf6a2cf6d2 || 0 1 1 || 0 1 1 ||
7555a3ac2e81ef34 76a39aecd51ef7b3 || 0 1 1 || 0 1 1 ||
ca99344da13ee55d 19e428afe0123c15 || 0 1 0 || 0 1 0 ||
ebd9e3050b1210f3 92461a8c8028117f || 0 0 0 || 0 0 0 ||
5e26078685635b23 be284f4ee9621609 || 0 0 1 || 0 0 1 ||
2949467e606f8094 b476994155d66404 || 0 0 1 || 0 0 1 ||
57704ecb963b0350 4684b3c5a308ebb7 || 0 0 0 || 0 0 0 ||
ec377cf681ad849d 94fc084cd1f87c7e || 0 0 0 || 0 0 0 ||
c8dd91a2ad335198 9e4150280944c344 || 0 0 0 || 0 0 0 ||
d0794fc65bc31f0d 103464f5ff37fa3b || 0 1 0 || 0 1 0 ||
d06126a92bdb62f3 a197f94b3fcd0ca9 || 0 0 0 || 0 0 0 ||
b4d27dc6a6b14038 3f9a581e87ad4b17 || 0 1 0 || 0 1 0 ||
96d2b85918dbd7fc 13f40fb6a35bbd1e || 0 1 0 || 0 1 0 ||
e610db3b0a679eae 5d36cf78f8c9e942 || 0 1 0 || 0 1 0 ||
5a22cb1ce5925ecd ee1094d27ebff336 || 0 0 1 || 0 0 1 ||
117bcd991e8503cd 4a87ca5c11efa04a || 0 1 1 || 0 1 1 ||
b9c17b9cfc26a4d5 98b430bc4178f590 || 0 0 0 || 0 0 0 ||
65b6a299beffe3c8 5fac6212e172d6b5 || 0 0 0 || 0 0 0 ||
37be153bb0125336 94d2fd83761480d6 || 0 0 1 || 0 0 1 ||
44de05324ef92e80 07d0e83b9636fc4a || 0 0 0 || 0 0 0 ||
07b537846314e355 997490782e575f4f || 0 0 1 || 0 0 1 ||
98ca85f328ad17cd f1728ea45adc7f70 || 0 1 1 || 0 1 1 ||
5b751f8763831094 a26634e1c077bdaf || 0 0 1 || 0 0 1 ||
e2ffc48739fb2b3f 69d7fb197da61af9 || 0 1 0 || 0 1 0 ||
c893973abf23c940 fade341c56aced28 || 0 1 1 || 0 1 1 ||
ad01088df0a55b32 8de6e49f14e5f8a2 || 0 0 0 || 0 0 0 ||
12de80e6f5e26e81 2c30462d8d49c0a7 || 0 1 1 || 0 1 1 ||
1b9aa7dcfde9d8ab b0efe1cdd5b0deb4 || 0 0 1 || 0 0 1 ||
6e82cd8221561888 9f314334518743c4 || 0 0 1 || 0 0 1 ||
ecaa6c14f4cd2b7b 41f87056c238d2f6 || 0 1 0 || 0 1 0 ||
f4f963fcc3a846c7 a183d74503f97d6f || 0 0 0 || 0 0 0 ||
aa8bb4c1e922ce74 c7b7c9f9c757717e || 0 1 1 || 0 1 1 ||
c3ee946d92174852 0e6d2f2a39bad456 || 0 1 0 || 0 1 0 ||
582fce0d5c78346c 6b2ab43d24b812c7 || 0 1 1 || 0 1 1 ||
ea875056466619f9 f6b600465f37dfc5 || 0 1 1 || 0 1 1 ||
21cd325cc576100a b9009a5395f30f09 || 0 0 1 || 0 0 1 ||
a6013f56c3106c90 81a761767d043b50 || 0 0 0 || 0 0 0 ||
12e08806401e4ed3 e8ca0a084f1e84d3 || 0 0 1 || 0 0 1 ||
64923642ec288269 86af823e28da4e86 || 0 0 1 || 0 0 1 ||
da4740e1d7db9081 7526cccd39a5728d || 0 1 0 || 0 1 0 ||
5a28d8464382605b c06181f24367fcca || 0 0 1 || 0 0 1 ||
686c2baae268e20b 055595f7ce8a9542 || 0 0 0 || 0 0 0 ||
0c2e6a8a8c0eee85 dc08cb372e8a1a27 || 0 0 1 || 0 0 1 ||
2e9bec906e8b6bb8 ba03d3257720548b || 0 0 1 || 0 0 1 ||
d7a25c99ec0e626b 9baeffec2bad32b3 || 0 0 0 || 0 0 0 ||
54327c857ccde0d0 8a881de2df41c97f || 0 0 1 || 0 0 1 ||
8289d45ac92726a5 83d3a3b22e3f04bf || 0 1 1 || 0 1 1 ||
7a6823f96b4cfa98 bc234f61436218f1 || 0 0 1 || 0 0 1 ||
9517d6154e6a7a6b 3248686347d32ad0 || 0 1 0 || 0 1 0 ||
0ba025fa89925bca 5bda8b605ea2a357 || 0 1 1 || 0 1 1 ||
c3743ca2a43fca6a 6b4c68eb0350e66c || 0 1 0 || 0 1 0 ||
31175d01a478a25a f495ee12884d8187 || 0 0 1 || 0 0 1 ||
776f44edf1de697e ad2bdd28f37cbf8e || 0 0 1 || 0 0 1 ||
e6d0f6a016147069 a401a3ff51dd2956 || 0 0 0 || 0 0 0 ||
50cf26216c76a156 e35790786497f8a2 || 0 0 1 || 0 0 1 ||
bbf96fd6d74b084a 6c2cef7656fd0a39 || 0 1 0 || 0 1 0 ||
7f1e45eaffd92647 f7981d65f7e918a4 || 0 0 1 || 0 0 1 ||
159deac0661b72ee 18a383901cacc3d3 || 0 1 1 || 0 1 1 ||
19fd794abaeb48a8 07676ed36a968dcc || 0 0 0 || 0 0 0 ||
c080ff1287edc4f0 637530fca0f7a5e4 || 0 1 0 || 0 1 0 ||
8774a7ba7c954276 6eef8a82773bd3c5 || 0 1 0 || 0 1 0 ||
6e515e914269ba05 18dc2fe373b4c311 || 0 0 0 || 0 0 0 ||
00de9f98aaf86c2d 3bc6a49e1a0e3c3e || 0 1 1 || 0 1 1 ||
db9eb91df147798f ccbd90036ca8b08c || 0 0 0 || 0 0 0 ||
81dc42366a59a353 293fd730e30bd315 || 0 1 0 || 0 1 0 ||
eee86cba89722dd9 d494101229f2bb2f || 0 0 0 || 0 0 0 ||
aa6bc8d420988016 d2d649d07df5a568 || 0 1 1 || 0 1 1 ||
f866eb03f86b652e c73ea113d86d19ec || 0 0 0 || 0 0 0 ||
d0c113ba5fa202c5 e3496d5834607e9a || 0 1 1 || 0 1 1 ||
27b8abc9a9e03f51 badaca6348dc5955 || 0 0 1 || 0 0 1 ||
9f34dc941d883f93 4301753d99765e99 || 0 1 0 || 0 1 0 ||
bbb22bfde34a1729 3289e59de491a0a4 || 0 1 0 || 0 1 0 ||
d4899de6b37d449a a2bff975b1ce3852 || 0 0 0 || 0 0 0 ||
57229da04d1e2e64 aa160fa101ab58f7 || 0 0 1 || 0 0 1 ||
1bba6483aa9a6c98 e2968f52e57d563a || 0 0 1 || 0 0 1 ||
02d612b7c7f8d4f2 75c56ab02cb0e580 || 0 1 1 || 0 1 1 ||
fe2fe027f0c8449b f2a3a575fdafbd4b || 0 0 0 || 0 0 0 ||
a36f48c5ac32c364 cbd8cbe9082b951a || 0 1 1 || 0 1 1 ||
9aee0a81605169e3 6e221759aab1a2ff || 0 1 0 || 0 1 0 ||
0b812e34d9cc2c71 e31dd3ba24599ae8 || 0 0 1 || 0 0 1 ||
0fd8f10df2ab41f8 359b669996ef4aab || 0 1 1 || 0 1 1 ||
c3c12c4ad2a03868 7efeaa5f4e6b50d6 || 0 1 0 || 0 1 0 ||
1efb2cf1a3d05a65 bfc58e6a3b5476ec || 0 0 1 || 0 0 1 ||
4088ea838c3720a2 9ed73ebd5d7bac66 || 0 0 1 || 0 0 1 ||
ec3883005672ebe7 e2e69091db60588a || 0 0 0 || 0 0 0 ||
5aabcd735435fced c36f530ea0592a32 || 0 0 1 || 0 0 1 ||
96c612c66ff29bf4 07dcba6c53b68b1f || 0 1 0 || 0 1 0 ||
35f3c9757591fa2c f2a313658cec7b00 || 0 0 1 || 0 0 1 ||
d1bde6daa435decc 993d9136000b84cc || 0 0 0 || 0 0 0 ||
d24153585fab467f 0e0157d8ec57c571 || 0 1 0 || 0 1 0 ||
17e0abc9684e3548 a8c28e279a91cdc5 || 0 0 1 || 0 0 1 ||
44df2512b561fdd0 0a2ffa3d24bbb019 || 0 0 0 || 0 0 0 ||
886f4225fc4d1f70 1aa1a0eb14842397 || 0 1 0 || 0 1 0 ||
e80708113ffef292 b64959f4fe54d1c9 || 0 0 0 || 0 0 0 ||
1017287b8fa7bb8d b16d509cb0d71e1d || 0 0 1 || 0 0 1 ||
5538437c1e5666ce b83dd27fc760c635 || 0 0 1 || 0 0 1 ||
149cf497060451ef e44f8ccbfa40ddad || 0 0 1 || 0 0 1 ||
20f5ebc2c7957353 d3aa5656d9a290d9 || 0 0 1 || 0 0 1 ||
6ffcdfd711bf546f c57c842efc89fffd || 0 0 1 || 0 0 1 ||
928cc9dfcd24c19d a05d4057815a1818 || 0 1 1 || 0 1 1 ||
8710ef713e43271e 7709d040c4a5c902 || 0 1 0 || 0 1 0 ||
a8a8027048835ae1 e10c99c0cbbcf71a || 0 1 1 || 0 1 1 ||
d4b3a39236b323bf de1e00e375779cbd || 0 1 1 || 0 1 1 ||
ffc2287fe36c0f1c 4748a66b66d2f8b8 || 0 1 0 || 0 1 0 ||
b1d31e7fcf8d1475 f34afc672007aa98 || 0 1 1 || 0 1 1 ||
751fa026f4f0808b 02a536187420210b || 0 0 0 || 0 0 0 ||
e483d31e91c22832 3a51a37500479058 || 0 1 0 || 0 1 0 ||
88dfa977c46eb528 bc739dd82a1da183 || 0 1 1 || 0 1 1 ||
f92c19e1f5a7861a 80ae4d714a4b79aa || 0 0 0 || 0 0 0 ||
8fcd03b42261316b 973df330e69d2f96 || 0 1 1 || 0 1 1 ||
3f3d73093deeac89 75fdc7af87b895ec || 0 1 1 || 0 1 1 ||
bfffc0cf99ef6117 cb144c56fec0545d || 0 1 1 || 0 1 1 ||
825a76b7abbb22c3 b1885d619ab3bd7a || 0 1 1 || 0 1 1 ||
07f5fd046a9e0d35 ef89460c13509b46 || 0 0 1 || 0 0 1 ||
3d0cd9d8a085aecb f7d49ec0a5fe4c84 || 0 0 1 || 0 0 1 ||
66023226599df959 502b0bec20026b28 || 0 0 0 || 0 0 0 ||
472b1cbf99d34497 da065049f9b37a25 || 0 0 1 || 0 0 1 ||
a5251b25a6abc1e9 1137497e47aa81f5 || 0 1 0 || 0 1 0 ||
8573b216163ccd21 283172efe5801067 || 0 1 0 || 0 1 0 ||
31fc9a55f2491e55 dd88a05993aa5525 || 0 0 1 || 0 0 1 ||
450f2e0556007ebe c65e9861e5c5c9a2 || 0 0 1 || 0 0 1 ||
7c158c59a6941341 e91ddb7e2f81135c || 0 0 1 || 0 0 1 ||
d651f80a0456afd5 107b2da50ed2ce9a || 0 1 0 || 0 1 0 ||
2e580e3ffaf4abf4 931521e7f1da0ece || 0 0 1 || 0 0 1 ||
5cb79d21c3ed44e0 2442b115e07716a7 || 0 0 0 || 0 0 0 ||
c9e532ac8da70783 75b426f0bee60ef8 || 0 1 0 || 0 1 0 ||
b0f3365e3346a7c3 5441df69c0ac4bee || 0 1 0 || 0 1 0 ||
e62fa207f9206fc0 cf7ca289592bd210 || 0 0 0 || 0 0 0 ||
8a97c35c92c133f3 802532e78bef65cb || 0 0 0 || 0 0 0 ||
3228a8f3cbef2b31 b00a8083d556da7e || 0 0 1 || 0 0 1 ||
74a90778df9a3dc3 9705cf5274a375e1 || 0 0 1 || 0 0 1 ||
62a4b6a263be6c5c e582c1274322cd78 || 0 0 1 || 0 0 1 ||
bcc26982e17cb41d 1d53ffbc3aac57a3 || 0 1 0 || 0 1 0 ||
a3e782b6b1e93c26 29dc807517a440a8 || 0 1 0 || 0 1 0 ||
d3659262a474956f 3f43cb60269d5230 || 0 1 0 || 0 1 0 ||
19a1c6b7d80bec4a 791d62825dc5b6bd || 0 1 1 || 0 1 1 ||
cc2fa859cee51655 020ba7ad185f272d || 0 1 0 || 0 1 0 ||
f0624a050706b185 7f71f514a9ad8289 || 0 1 0 || 0 1 0 ||
fba6ba096591521f 5a963af2ba17f7d2 || 0 1 0 || 0 1 0 ||
86666bb0f106baca 3ce874f1052ea8d3 || 0 1 0 || 0 1 0 ||
4a311dbb60061e6b de82bc325f34fe20 || 0 0 1 || 0 0 1 ||
c03bb98a8bec5ece 1dd20fae4ea29be5 || 0 1 0 || 0 1 0 ||
11fb5f8a3e1966ba b72165335497facd || 0 0 1 || 0 0 1 ||
54f83e988a0e61dd c88fd1dcb89835fc || 0 0 1 || 0 0 1 ||
63aad5a52cca42a5 c936dbeedc111989 || 0 0 1 || 0 0 1 ||
27e91bf7d9c870bd 00534cfdf4f17306 || 0 0 0 || 0 0 0 ||
5bbf9410361c8800 d3fc3f70bb0ecceb || 0 0 1 || 0 0 1 ||
b02fb74cdfbdc5bf 943970aada3df7c1 || 0 0 0 || 0 0 0 ||
43d38d081945c59f 6a371f4784dd73aa || 0 1 1 || 0 1 1 ||
737df40cc3c312fc 5469ec66b724fe61 || 0 0 0 || 0 0 0 ||
1f207f9af5a39775 1c9b645d6870d0d9 || 0 0 0 || 0 0 0 ||
d9d48e1872fd3a30 f41f3567f121baab || 0 1 1 || 0 1 1 ||
f764ad76584d12e4 c0281e62b1c32a10 || 0 0 0 || 0 0 0 ||
61d526fdc266de20 d4bd7bbfad9828ce || 0 0 1 || 0 0 1 ||
2694086b60c83a2d a62d9e2c7717d4e5 || 0 0 1 || 0 0 1 ||
abe488b473ecde04 19dcf7a1dbf147fd || 0 1 0 || 0 1 0 ||
5ad802aca215ae7e edb0c12f2b51ea2d || 0 0 1 || 0 0 1 ||
f232d84482ac88b2 79a5bdab18826dc5 || 0 1 0 || 0 1 0 ||
a7058d26091c1f15 dfb872d2708ce04c || 0 1 1 || 0 1 1 ||
3957fe7a69809fed 85bb7cff4d225299 || 0 0 1 || 0 0 1 ||
bc0286d17fac9149 00c787cdf0e0b1e9 || 0 1 0 || 0 1 0 ||
352a96a7d39cca10 22a22a6b1ff40f60 || 0 0 0 || 0 0 0 ||
dabd66bcd5268fcc 787b651337d85d91 || 0 1 0 || 0 1 0 ||
ab79edd0675aaf74 bb873f089b768090 || 0 1 1 || 0 1 1 ||
4d943eda00cf95af 9ab9e017c2748cd2 || 0 0 1 || 0 0 1 ||
f76c393f652c52f5 5da0405b159a8734 || 0 1 0 || 0 1 0 ||
fedbf5422bf25a09 07c61ec1accfb750 || 0 1 0 || 0 1 0 ||
3f0302653011e51c 5ed9e6d75fb35e76 || 0 1 1 || 0 1 1 ||
c1a6da6aa344043f cded700e290a41f1 || 0 1 1 || 0 1 1 ||
59e4cda600056c11 add810a39a3b8aae || 0 0 1 || 0 0 1 ||
e450fc1a040a40ae 0e42464b5412b6e0 || 0 1 0 || 0 1 0 ||
a8caa74a888e84ee a0dcff8db29fc5ea || 0 0 0 || 0 0 0 ||
f395919f71ad924b 9dee3e16e2e17c87 || 0 0 0 || 0 0 0 ||
8150127c963af202 b92904b21d1befdd || 0 1 1 || 0 1 1 ||
b1de9c89b61ecbb2 f6cdb3b237715a0a || 0 1 1 || 0 1 1 ||
547b85dac1236c17 4a8cb20d7c259be7 || 0 0 0 || 0 0 0 ||
d9f53be839b8da6a e394feb23926264d || 0 1 1 || 0 1 1 ||
35d684620b488bdf 1d22ff9b0afd76b1 || 0 0 0 || 0 0 0 ||
94b816bbe74c798f 4715643454ba40a6 || 0 1 0 || 0 1 0 ||
c06561ae03255b19 d0d4c537ff4ba000 || 0 1 1 || 0 1 1 ||
c12b5250b46d32be eb80e839cd65e612 || 0 1 1 || 0 1 1 ||
